,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,71.89999999999999,72.79767666989352,0 days 00:00:03.725454,0 days 00:00:00.004001
1,2 XOR-APUF,5000.0,91.8,91.27659574468085,0 days 00:00:06.230021,0 days 00:00:00.004002
2,3 XOR-APUF,5000.0,71.3,71.8351324828263,0 days 00:00:08.662002,0 days 00:00:00.004001
3,4 XOR-APUF,5000.0,88.2,88.45401174168298,0 days 00:00:11.150997,0 days 00:00:00.003045
4,5 XOR-APUF,5000.0,80.10000000000001,79.91927346115035,0 days 00:00:13.714076,0 days 00:00:00.003001
5,6 XOR-APUF,5000.0,78.3,77.41935483870968,0 days 00:00:16.178001,0 days 00:00:00.004030
6,FF-2-XOR-APUF,5000.0,92.60000000000001,92.24318658280923,0 days 00:00:19.210000,0 days 00:00:00.003002
7,FF-3-XOR-APUF,5000.0,63.4,62.03319502074688,0 days 00:00:28.232118,0 days 00:00:00.004034
8,FF-4-XOR-APUF,5000.0,84.8,84.39425051334702,0 days 00:00:37.162198,0 days 00:00:00.004002
9,FF-5-XOR-APUF,5000.0,82.5,82.37663645518631,0 days 00:00:46.328998,0 days 00:00:00.003030
10,FF-6-XOR-APUF,5000.0,76.9,74.80916030534351,0 days 00:00:54.417442,0 days 00:00:00.004002
11,"Generic framework(1,1,1)",5000.0,89.93333333333334,89.83164983164983,0 days 00:00:51.155029,0 days 00:00:00.007006
12,"Generic framework(4,4,4)",5000.0,90.03333333333333,90.1091630830301,0 days 00:00:51.232708,0 days 00:00:00.009037
