,Number of XORPUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,250000.0,97.15599999999999,97.16789484166499,0 days 00:25:05.830848,0 days 00:00:00.713037
1,3.0,166666.0,96.015,96.03360240472186,0 days 00:26:16.893242,0 days 00:00:00.747055
2,4.0,125000.0,96.38799999999999,96.39607279693486,0 days 00:16:46.678310,0 days 00:00:00.479037
3,5.0,100000.0,95.62,95.66619832584648,0 days 00:15:45.451568,0 days 00:00:00.419029
4,6.0,83333.0,95.818,95.82401342067422,0 days 00:16:08.547629,0 days 00:00:00.404141
5,7.0,71428.0,95.896,95.92849064465564,0 days 00:16:37.579610,0 days 00:00:00.452033
6,8.0,62500.0,95.89999999999999,95.93334655822258,0 days 00:16:22.927604,0 days 00:00:00.453032
7,9.0,55555.0,86.43686436864368,86.55144718446024,0 days 00:16:15.911973,0 days 00:00:00.431032
8,10.0,50000.0,92.002,92.01493580399753,0 days 00:15:53.349777,0 days 00:00:00.450031
9,20.0,25000.0,67.75099999999999,67.75519182506274,0 days 04:12:23.480533,0 days 00:00:00.492317
