,Number of APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,93.30000000000001,93.35097585180286,0 days 00:00:37.149517,0 days 00:00:00.026001
1,3.0,5000.0,95.16666666666667,95.23496549457772,0 days 00:00:42.840841,0 days 00:00:00.024765
2,4.0,3750.0,93.66666666666667,93.74588545095457,0 days 00:00:44.604142,0 days 00:00:00.025546
3,5.0,3000.0,92.23333333333333,92.23074358119374,0 days 00:00:51.640850,0 days 00:00:00.024585
4,6.0,2500.0,88.33333333333333,88.2786336235767,0 days 00:00:46.424589,0 days 00:00:00.028002
5,7.0,2142.0,91.16372124041348,91.48731127529713,0 days 00:00:57.425236,0 days 00:00:00.025154
6,8.0,1875.0,88.9,89.02077151335311,0 days 00:01:05.446454,0 days 00:00:00.024862
7,9.0,1666.0,89.19639879959986,89.3421052631579,0 days 00:01:19.114708,0 days 00:00:00.035689
8,10.0,1500.0,90.63333333333333,90.69228221265318,0 days 00:01:32.622848,0 days 00:00:00.032002
9,20.0,750.0,79.80000000000001,80.4516129032258,0 days 00:02:01.074209,0 days 00:00:00.026045
