,Number of XORPUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,60.53333333333333,60.55962691538974,0 days 00:00:42.190297,0 days 00:00:00.026281
1,3.0,5000.0,61.46666666666667,61.05121293800539,0 days 00:00:47.803820,0 days 00:00:00.026112
2,4.0,3750.0,62.76666666666667,62.95190713101162,0 days 00:00:55.407216,0 days 00:00:00.025879
3,5.0,3000.0,64.60000000000001,64.62358427714857,0 days 00:00:56.707510,0 days 00:00:00.029002
4,6.0,2500.0,66.46666666666667,65.80557443915703,0 days 00:01:02.013154,0 days 00:00:00.031000
5,7.0,2142.0,64.8216072024008,64.93851777999336,0 days 00:01:06.834169,0 days 00:00:00.026000
6,8.0,1875.0,66.7,65.9625212947189,0 days 00:01:12.885723,0 days 00:00:00.033001
7,9.0,1666.0,68.9563187729243,69.40519224449557,0 days 00:01:17.609654,0 days 00:00:00.030001
8,10.0,1500.0,68.13333333333334,68.51119894598156,0 days 00:01:23.410574,0 days 00:00:00.025001
9,20.0,750.0,67.30000000000001,66.82448427460263,0 days 00:02:04.138034,0 days 00:00:00.026001
