,Number of XORPUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,62.56666666666667,61.78972439605309,0 days 00:00:45.810130,0 days 00:00:00.031000
1,3.0,5000.0,64.36666666666667,64.0913671481357,0 days 00:00:52.219141,0 days 00:00:00.029003
2,4.0,3750.0,66.06666666666666,66.66666666666666,0 days 00:00:59.443777,0 days 00:00:00.030001
3,5.0,3000.0,66.43333333333334,66.03709949409782,0 days 00:01:06.960412,0 days 00:00:00.026002
4,6.0,2500.0,67.30000000000001,68.26269815593658,0 days 00:01:13.820921,0 days 00:00:00.030003
5,7.0,2142.0,65.45515171723908,65.69536423841058,0 days 00:01:16.331106,0 days 00:00:00.026002
6,8.0,1875.0,68.36666666666666,69.03752039151712,0 days 00:01:19.737084,0 days 00:00:00.031002
7,9.0,1666.0,69.68989663221073,70.30382228030055,0 days 00:01:34.466959,0 days 00:00:00.040000
8,10.0,1500.0,68.96666666666667,69.10056422170594,0 days 00:01:27.961568,0 days 00:00:00.026000
9,20.0,750.0,66.93333333333334,67.38987508218277,0 days 00:02:35.487460,0 days 00:00:00.028002
