,Number of XORPUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,15000.0,59.36666666666667,59.420772303595214,0 days 00:01:21.676448,0 days 00:00:00.048004
1,3.0,10000.0,61.95,62.10788381742739,0 days 00:01:23.656780,0 days 00:00:00.040002
2,4.0,7500.0,62.21666666666666,61.75130757550195,0 days 00:01:24.203184,0 days 00:00:00.039002
3,5.0,6000.0,63.18333333333334,63.078723048637805,0 days 00:01:31.643642,0 days 00:00:00.040004
4,6.0,5000.0,64.48333333333333,64.52472115864825,0 days 00:01:31.040962,0 days 00:00:00.041002
5,7.0,4285.0,64.6441073512252,64.58507263316079,0 days 00:01:40.103983,0 days 00:00:00.042002
6,8.0,3750.0,65.96666666666667,66.34805537244563,0 days 00:01:43.052246,0 days 00:00:00.051004
7,9.0,3333.0,65.58333333333334,65.50860197093704,0 days 00:01:52.857498,0 days 00:00:00.041001
8,10.0,3000.0,66.23333333333333,65.91520861372813,0 days 00:02:00.073635,0 days 00:00:00.040332
9,20.0,1500.0,68.68333333333332,68.91645988420181,0 days 00:02:52.553060,0 days 00:00:00.044002
