,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,66.3,64.11075612353568,0 days 00:00:03.666032,0 days 00:00:00.543001
1,2 XOR-APUF,5000.0,84.3,81.42011834319527,0 days 00:00:05.986969,0 days 00:00:00.600028
2,3 XOR-APUF,5000.0,62.0,55.18867924528301,0 days 00:00:08.491996,0 days 00:00:00.544970
3,4 XOR-APUF,5000.0,80.9,79.65921192758253,0 days 00:00:10.794978,0 days 00:00:00.524449
4,5 XOR-APUF,5000.0,62.4,56.27906976744186,0 days 00:00:13.215113,0 days 00:00:00.570967
5,6 XOR-APUF,5000.0,73.6,69.1588785046729,0 days 00:00:15.790999,0 days 00:00:00.525972
6,FF-2-XOR-APUF,5000.0,85.8,83.33333333333333,0 days 00:00:19.010971,0 days 00:00:00.609001
7,FF-3-XOR-APUF,5000.0,63.5,58.2857142857143,0 days 00:00:28.840070,0 days 00:00:00.577028
8,FF-4-XOR-APUF,5000.0,76.2,74.40860215053762,0 days 00:00:37.247577,0 days 00:00:00.560027
9,FF-5-XOR-APUF,5000.0,62.3,56.91428571428572,0 days 00:00:46.499032,0 days 00:00:00.586999
10,FF-6-XOR-APUF,5000.0,73.4,70.70484581497797,0 days 00:00:53.857092,0 days 00:00:00.628000
11,"Generic framework(1,1,1)",5000.0,72.93333333333332,68.79323597232899,0 days 00:00:50.835138,0 days 00:00:03.621030
12,"Generic framework(4,4,4)",5000.0,65.4,60.97744360902255,0 days 00:00:50.452383,0 days 00:00:03.501969
