,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000,97.04,97.14726291,0 days 00:00:08.559998,0 days 00:00:06.802974
1,2 XOR-APUF,5000,93.88,93.61169102,0 days 00:00:12.828009,0 days 00:00:03.218030
2,3 XOR-APUF,5000,90.36,90.60062402,0 days 00:00:18.406965,0 days 00:00:06.574030
3,4 XOR-APUF,5000,89.98,90.12807882,0 days 00:00:22.439001,0 days 00:00:03.905964
4,5 XOR-APUF,5000,79.3,79.22937989,0 days 00:00:27.710041,0 days 00:00:06.721000
5,6 XOR-APUF,5000,80.92,80.83567698,0 days 00:00:32.972084,0 days 00:00:05.041030
6,FF-2-XOR-APUF,5000,94.92,94.69507101,0 days 00:00:37.460002,0 days 00:00:02.879004
7,FF-3-XOR-APUF,5000,91.62,91.64506481,0 days 00:00:54.926071,0 days 00:00:06.532971
8,FF-4-XOR-APUF,5000,87.88,87.95707472,0 days 00:01:11.876040,0 days 00:00:04.187994
9,FF-5-XOR-APUF,5000,79.92,79.92,0 days 00:01:29.955054,0 days 00:00:06.398029
10,FF-6-XOR-APUF,5000,80.56,80.5988024,0 days 00:01:46.386145,0 days 00:00:04.710000
11,"Generic framework(1,1,1)",5000,87.14,86.74317916,0 days 00:01:59.634128,0 days 00:00:26.600033
12,"Generic framework(4,4,4)",5000,86.47333333,86.46882294,0 days 00:01:58.612563,0 days 00:00:23.570041
