,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,98.7,98.72922776148583,0 days 00:00:07.009440,0 days 00:00:00.010999
1,2 XOR-APUF,5000.0,97.1,97.04984740590031,0 days 00:00:13.154032,0 days 00:00:00.009958
2,3 XOR-APUF,5000.0,97.3,97.31343283582089,0 days 00:00:19.503300,0 days 00:00:00.008966
3,4 XOR-APUF,5000.0,94.0,93.96378269617706,0 days 00:00:26.023033,0 days 00:00:00.008968
4,5 XOR-APUF,5000.0,92.80000000000001,92.65306122448979,0 days 00:00:32.051025,0 days 00:00:00.009000
5,6 XOR-APUF,5000.0,89.60000000000001,89.62075848303392,0 days 00:00:38.277075,0 days 00:00:00.007961
6,FF-2-XOR-APUF,5000.0,97.0,96.91358024691357,0 days 00:00:25.521225,0 days 00:00:00.007968
7,FF-3-XOR-APUF,5000.0,96.2,96.31782945736434,0 days 00:00:38.377000,0 days 00:00:00.010002
8,FF-4-XOR-APUF,5000.0,93.10000000000001,92.95199182839632,0 days 00:00:50.259593,0 days 00:00:00.008001
9,FF-5-XOR-APUF,5000.0,91.60000000000001,91.49797570850203,0 days 00:01:02.945025,0 days 00:00:00.009975
10,FF-6-XOR-APUF,5000.0,91.8,91.91321499013806,0 days 00:01:14.830078,0 days 00:00:00.009002
11,"Generic framework(1,1,1)",5000.0,96.36666666666667,96.40619848334983,0 days 00:01:22.384420,0 days 00:00:00.012968
12,"Generic framework(2,2,2)",5000.0,94.93333333333334,94.90957803081045,0 days 00:01:22.254075,0 days 00:00:00.017999
13,"Generic framework(3,3,3)",5000.0,95.59853284428142,95.61752988047807,0 days 00:01:22.489678,0 days 00:00:00.012961
14,"Generic framework(4,4,4)",5000.0,94.66666666666667,94.59459459459461,0 days 00:01:24.448995,0 days 00:00:00.012999
15,"Generic framework(5,5,5)",5000.0,94.33333333333334,94.32197728790915,0 days 00:01:22.792623,0 days 00:00:00.011969
16,"Generic framework(6,6,6)",5000.0,94.76492164054685,94.71202425058942,0 days 00:01:22.520746,0 days 00:00:00.013958
