,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,50.3,59.22887612797374,0 days 00:00:09.709634,0 days 00:00:00.016001
1,2 XOR-APUF,5000.0,55.400000000000006,14.23076923076923,0 days 00:00:16.920905,0 days 00:00:00.025824
2,3 XOR-APUF,5000.0,48.6,51.1406844106464,0 days 00:00:26.014612,0 days 00:00:00.017001
3,4 XOR-APUF,5000.0,51.800000000000004,58.94378194207837,0 days 00:00:38.764917,0 days 00:00:00.022002
4,5 XOR-APUF,5000.0,52.300000000000004,52.25225225225226,0 days 00:00:45.726946,0 days 00:00:00.021002
5,6 XOR-APUF,5000.0,50.9,45.86549062844543,0 days 00:00:52.643608,0 days 00:00:00.015629
6,FF-2-XOR-APUF,5000.0,51.1,13.756613756613758,0 days 00:00:37.483897,0 days 00:00:00.015630
7,FF-3-XOR-APUF,5000.0,50.8,47.21030042918455,0 days 00:00:56.037814,0 days 00:00:00.015630
8,FF-4-XOR-APUF,5000.0,46.0,40.78947368421053,0 days 00:01:14.508537,0 days 00:00:00.015630
9,FF-5-XOR-APUF,5000.0,51.1,52.385589094449855,0 days 00:01:31.943197,0 days 00:00:00.015631
10,FF-6-XOR-APUF,5000.0,50.5,54.46182152713891,0 days 00:01:51.719632,0 days 00:00:00.015631
11,"Generic framework(1,1,1)",5000.0,51.46666666666667,57.40198946752487,0 days 00:01:55.543853,0 days 00:00:00.031261
12,"Generic framework(2,2,2)",5000.0,50.93333333333333,28.612997090203685,0 days 00:01:57.333559,0 days 00:00:00.015632
13,"Generic framework(3,3,3)",5000.0,49.749916638879625,46.12084376117268,0 days 00:02:07.175578,0 days 00:00:00.015631
14,"Generic framework(4,4,4)",5000.0,50.43333333333333,48.600069132388526,0 days 00:02:00.878614,0 days 00:00:00.031258
15,"Generic framework(5,5,5)",5000.0,50.33333333333333,59.133296763576524,0 days 00:02:04.071556,0 days 00:00:00.015630
16,"Generic framework(6,6,6)",5000.0,51.717239079693236,35.12544802867383,0 days 00:02:03.165784,0 days 00:00:00.027001
