,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,98.3,98.24198552223372,0 days 00:00:04.074566,0 days 00:00:00.013999
1,2 XOR-APUF,5000.0,92.9,92.74770173646579,0 days 00:00:06.082081,0 days 00:00:00.010001
2,3 XOR-APUF,5000.0,90.4,90.53254437869822,0 days 00:00:08.476000,0 days 00:00:00.010004
3,4 XOR-APUF,5000.0,86.2,86.41732283464567,0 days 00:00:10.927001,0 days 00:00:00.012000
4,5 XOR-APUF,5000.0,84.1,84.6079380445305,0 days 00:00:13.443133,0 days 00:00:00.008999
5,6 XOR-APUF,5000.0,82.19999999999999,81.76229508196721,0 days 00:00:15.688087,0 days 00:00:00.010000
6,FF-2-XOR-APUF,5000.0,92.60000000000001,92.43353783231085,0 days 00:00:18.863818,0 days 00:00:00.009001
7,FF-3-XOR-APUF,5000.0,90.5,90.2763561924258,0 days 00:00:27.245644,0 days 00:00:00.008997
8,FF-4-XOR-APUF,5000.0,87.2,86.91206543967279,0 days 00:00:36.042171,0 days 00:00:00.009999
9,FF-5-XOR-APUF,5000.0,84.0,84.76190476190476,0 days 00:00:53.177230,0 days 00:00:00.008999
10,FF-6-XOR-APUF,5000.0,83.2,83.03030303030302,0 days 00:00:53.062086,0 days 00:00:00.008954
11,"Generic framework(1,1,1)",5000.0,80.03333333333333,75.27858027238959,0 days 00:00:50.196205,0 days 00:00:00.014967
12,"Generic framework(2,2,2)",5000.0,83.3,81.42380422691879,0 days 00:00:50.629546,0 days 00:00:00.020999
13,"Generic framework(3,3,3)",5000.0,73.72457485828609,70.81481481481482,0 days 00:00:51.284568,0 days 00:00:00.013970
14,"Generic framework(4,4,4)",5000.0,84.13333333333334,85.44342507645261,0 days 00:00:51.059017,0 days 00:00:00.014999
15,"Generic framework(5,5,5)",5000.0,89.26666666666667,89.2018779342723,0 days 00:00:50.211297,0 days 00:00:00.013000
16,"Generic framework(6,6,6)",5000.0,89.16305435145048,89.09761824890977,0 days 00:00:49.807905,0 days 00:00:00.013989
