,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,97.3,97.3963355834137,0 days 00:00:03.763013,0 days 00:00:00.006955
1,2 XOR-APUF,5000.0,91.3,90.89005235602096,0 days 00:00:06.140003,0 days 00:00:00.007997
2,3 XOR-APUF,5000.0,91.8,91.75050301810866,0 days 00:00:08.509032,0 days 00:00:00.006968
3,4 XOR-APUF,5000.0,87.4,87.54940711462451,0 days 00:00:10.969055,0 days 00:00:00.006945
4,5 XOR-APUF,5000.0,85.0,84.43983402489627,0 days 00:00:13.425031,0 days 00:00:00.008970
5,6 XOR-APUF,5000.0,82.0,82.421875,0 days 00:00:15.880004,0 days 00:00:00.009998
6,FF-2-XOR-APUF,5000.0,92.9,92.58098223615465,0 days 00:00:19.501511,0 days 00:00:00.009998
7,FF-3-XOR-APUF,5000.0,89.0,88.97795591182364,0 days 00:00:27.502056,0 days 00:00:00.006999
8,FF-4-XOR-APUF,5000.0,85.9,86.05341246290801,0 days 00:00:35.843999,0 days 00:00:00.008001
9,FF-5-XOR-APUF,5000.0,85.3,85.1063829787234,0 days 00:00:44.727002,0 days 00:00:00.008000
10,FF-6-XOR-APUF,5000.0,80.30000000000001,79.9593082400814,0 days 00:00:53.253145,0 days 00:00:00.006994
11,"Generic framework(1,1,1)",5000.0,84.3,85.44049459041732,0 days 00:00:51.011001,0 days 00:00:00.010001
12,"Generic framework(2,2,2)",5000.0,68.96666666666667,62.169849654611944,0 days 00:00:50.594748,0 days 00:00:00.011000
13,"Generic framework(3,3,3)",5000.0,66.72224074691565,71.8556119571348,0 days 00:00:50.771036,0 days 00:00:00.009998
14,"Generic framework(4,4,4)",5000.0,74.3,79.06597882161282,0 days 00:00:50.961122,0 days 00:00:00.011000
15,"Generic framework(5,5,5)",5000.0,73.93333333333332,79.14666666666666,0 days 00:00:51.952001,0 days 00:00:00.010999
16,"Generic framework(6,6,6)",5000.0,66.75558519506502,60.326303223239165,0 days 00:00:50.813072,0 days 00:00:00.009998
