,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,97.39999999999999,97.46093750000001,0 days 00:00:03.736029,0 days 00:00:00.008969
1,2 XOR-APUF,5000.0,92.9,92.40641711229947,0 days 00:00:06.098001,0 days 00:00:00.007999
2,3 XOR-APUF,5000.0,89.9,89.66223132036846,0 days 00:00:08.432033,0 days 00:00:00.007968
3,4 XOR-APUF,5000.0,84.1,84.11588411588411,0 days 00:00:10.761001,0 days 00:00:00.008999
4,5 XOR-APUF,5000.0,84.3,84.62291870714985,0 days 00:00:13.129026,0 days 00:00:00.007974
5,6 XOR-APUF,5000.0,81.2,80.97165991902835,0 days 00:00:15.503031,0 days 00:00:00.007968
6,FF-2-XOR-APUF,5000.0,93.60000000000001,93.24894514767934,0 days 00:00:18.382031,0 days 00:00:00.008969
7,FF-3-XOR-APUF,5000.0,91.3,91.14954221770091,0 days 00:00:26.867001,0 days 00:00:00.009999
8,FF-4-XOR-APUF,5000.0,87.8,87.96844181459566,0 days 00:00:35.274046,0 days 00:00:00.008001
9,FF-5-XOR-APUF,5000.0,84.7,84.52982810920122,0 days 00:00:43.958287,0 days 00:00:00.007999
10,FF-6-XOR-APUF,5000.0,83.0,82.21757322175732,0 days 00:00:52.407047,0 days 00:00:00.007999
11,"Generic framework(1,1,1)",5000.0,83.8,84.88805970149254,0 days 00:00:49.556040,0 days 00:00:00.013000
12,"Generic framework(2,2,2)",5000.0,80.93333333333334,76.55737704918033,0 days 00:00:49.661001,0 days 00:00:00.017000
13,"Generic framework(3,3,3)",5000.0,75.39179726575526,80.33049040511727,0 days 00:00:49.944041,0 days 00:00:00.012000
14,"Generic framework(4,4,4)",5000.0,73.9,79.11443051480394,0 days 00:00:49.670000,0 days 00:00:00.013001
15,"Generic framework(5,5,5)",5000.0,82.0,83.30241187384046,0 days 00:00:49.770087,0 days 00:00:00.012998
16,"Generic framework(6,6,6)",5000.0,89.06302100700233,88.92640108035111,0 days 00:00:49.680076,0 days 00:00:00.011998
