,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,94.69999999999999,94.6518668012109,0 days 00:00:03.871001,0 days 00:00:00.009997
1,2 XOR-APUF,5000.0,88.7,88.26583592938732,0 days 00:00:06.135004,0 days 00:00:00.007996
2,3 XOR-APUF,5000.0,83.89999999999999,83.10598111227702,0 days 00:00:08.631069,0 days 00:00:00.007987
3,4 XOR-APUF,5000.0,77.0,77.18253968253968,0 days 00:00:10.984040,0 days 00:00:00.008001
4,5 XOR-APUF,5000.0,76.5,77.02834799608993,0 days 00:00:13.313218,0 days 00:00:00.007999
5,6 XOR-APUF,5000.0,72.2,73.00970873786406,0 days 00:00:15.715001,0 days 00:00:00.007997
6,FF-2-XOR-APUF,5000.0,87.8,87.23849372384936,0 days 00:00:18.854622,0 days 00:00:00.007999
7,FF-3-XOR-APUF,5000.0,81.89999999999999,81.73562058526743,0 days 00:00:27.320071,0 days 00:00:00.009000
8,FF-4-XOR-APUF,5000.0,78.10000000000001,77.72126144455748,0 days 00:00:36.038230,0 days 00:00:00.007969
9,FF-5-XOR-APUF,5000.0,75.3,75.52031714568881,0 days 00:00:44.696067,0 days 00:00:00.008967
10,FF-6-XOR-APUF,5000.0,72.7,73.2090284592738,0 days 00:00:53.847460,0 days 00:00:00.008997
11,"Generic framework(1,1,1)",5000.0,72.93333333333332,78.39276210750398,0 days 00:00:50.819000,0 days 00:00:00.015999
12,"Generic framework(2,2,2)",5000.0,71.73333333333333,73.76237623762377,0 days 00:00:50.754275,0 days 00:00:00.013997
13,"Generic framework(3,3,3)",5000.0,77.99266422140714,75.15060240963857,0 days 00:00:50.491724,0 days 00:00:00.013998
14,"Generic framework(4,4,4)",5000.0,78.06666666666666,73.29545454545455,0 days 00:00:50.990002,0 days 00:00:00.013999
15,"Generic framework(5,5,5)",5000.0,71.39999999999999,69.18103448275863,0 days 00:00:50.452081,0 days 00:00:00.014001
16,"Generic framework(6,6,6)",5000.0,74.59153051017006,79.33839479392624,0 days 00:00:54.078328,0 days 00:00:00.012999
