,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,52.2,60.75533661740559,0 days 00:00:06.435003,0 days 00:00:00.012997
1,2 XOR-APUF,5000.0,70.39999999999999,70.7509881422925,0 days 00:00:11.456999,0 days 00:00:00.012000
2,3 XOR-APUF,5000.0,49.3,51.94312796208531,0 days 00:00:16.078002,0 days 00:00:00.013000
3,4 XOR-APUF,5000.0,66.0,66.99029126213591,0 days 00:00:21.409002,0 days 00:00:00.013997
4,5 XOR-APUF,5000.0,51.2,48.19532908704883,0 days 00:00:28.596999,0 days 00:00:00.013000
5,6 XOR-APUF,5000.0,60.0,58.76288659793815,0 days 00:00:33.402999,0 days 00:00:00.012999
6,FF-2-XOR-APUF,5000.0,72.0,71.65991902834008,0 days 00:00:26.742513,0 days 00:00:00.013998
7,FF-3-XOR-APUF,5000.0,48.8,40.04683840749415,0 days 00:00:39.583594,0 days 00:00:00.011997
8,FF-4-XOR-APUF,5000.0,62.3,60.93264248704662,0 days 00:00:52.321000,0 days 00:00:00.016002
9,FF-5-XOR-APUF,5000.0,49.6,46.94736842105263,0 days 00:01:04.670999,0 days 00:00:00.013998
10,FF-6-XOR-APUF,5000.0,56.699999999999996,57.33990147783251,0 days 00:01:18.245539,0 days 00:00:00.011999
11,"Generic framework(1,1,1)",5000.0,58.699999999999996,58.603407951887746,0 days 00:01:22.235980,0 days 00:00:00.024008
12,"Generic framework(4,4,4)",5000.0,58.46666666666667,58.35561497326203,0 days 00:01:24.731150,0 days 00:00:00.028002
