iter	Passed	Remaining
0	8	8060
1	18	9405
2	29	9766
3	42	10520
4	50	9997
5	57	9602
6	70	9970
7	78	9718
8	86	9489
9	96	9558
10	109	9815
11	119	9828
12	131	9992
13	139	9844
14	147	9676
15	154	9528
16	162	9392
17	170	9305
18	178	9196
19	185	9108
20	193	9029
21	201	8977
22	210	8931
23	220	8972
24	231	9028
25	244	9141
26	253	9139
27	261	9070
28	268	8997
29	278	9017
30	286	8943
31	293	8882
32	303	8879
33	312	8879
34	319	8819
35	327	8774
36	335	8719
37	342	8662
38	349	8608
39	362	8688
40	369	8638
41	376	8596
42	384	8554
43	396	8615
44	403	8568
45	411	8524
46	421	8544
47	428	8502
48	436	8464
49	443	8425
50	451	8396
51	458	8365
52	466	8329
53	473	8303
54	483	8313
55	491	8277
56	500	8281
57	507	8250
58	517	8260
59	527	8260
60	534	8225
61	541	8197
62	551	8201
63	558	8174
64	568	8183
65	576	8157
66	586	8162
67	593	8133
68	601	8111
69	611	8119
70	620	8123
71	627	8093
72	635	8072
73	643	8048
74	650	8021
75	658	8000
76	665	7977
77	672	7952
78	682	7953
79	689	7928
80	696	7905
81	703	7881
82	710	7855
83	718	7834
84	725	7813
85	733	7792
86	742	7793
87	752	7800
88	760	7782
89	768	7766
90	777	7769
91	785	7749
92	795	7758
93	805	7759
94	812	7739
95	822	7743
96	829	7722
97	839	7722
98	846	7703
99	853	7684
100	861	7665
101	868	7646
102	878	7653
103	888	7656
104	898	7655
105	908	7660
106	917	7660
107	925	7640
108	934	7638
109	942	7621
110	949	7601
111	956	7581
112	965	7579
113	975	7578
114	988	7603
115	997	7602
116	1004	7583
117	1012	7564
118	1019	7545
119	1029	7546
120	1036	7527
121	1045	7526
122	1054	7521
123	1062	7505
124	1072	7505
125	1079	7487
126	1086	7468
127	1096	7472
128	1104	7456
129	1116	7469
130	1124	7457
131	1134	7456
132	1141	7438
133	1148	7421
134	1155	7405
135	1165	7402
136	1172	7386
137	1179	7368
138	1187	7353
139	1194	7335
140	1201	7319
141	1210	7315
142	1218	7303
143	1227	7299
144	1237	7294
145	1246	7292
146	1256	7289
147	1263	7274
148	1270	7258
149	1280	7258
150	1287	7241
151	1297	7239
152	1304	7222
153	1314	7222
154	1324	7218
155	1333	7213
156	1340	7198
157	1347	7182
158	1357	7178
159	1364	7162
160	1371	7147
161	1378	7131
162	1390	7139
163	1397	7123
164	1404	7108
165	1414	7105
166	1424	7103
167	1434	7102
168	1441	7088
169	1448	7073
170	1455	7058
171	1463	7045
172	1471	7032
173	1477	7016
174	1489	7022
175	1497	7009
176	1506	7005
177	1517	7008
178	1525	6995
179	1534	6992
180	1541	6977
181	1551	6974
182	1559	6961
183	1568	6958
184	1578	6954
185	1585	6940
186	1595	6937
187	1605	6933
188	1612	6918
189	1619	6904
190	1629	6900
191	1636	6884
192	1646	6882
193	1653	6868
194	1662	6863
195	1669	6849
196	1679	6844
197	1686	6831
198	1693	6817
199	1700	6803
200	1707	6789
201	1715	6776
202	1726	6780
203	1736	6775
204	1743	6762
205	1750	6748
206	1760	6744
207	1769	6738
208	1779	6733
209	1789	6730
210	1800	6733
211	1810	6729
212	1817	6715
213	1826	6710
214	1836	6706
215	1843	6692
216	1850	6678
217	1858	6665
218	1867	6660
219	1879	6664
220	1889	6658
221	1898	6654
222	1905	6640
223	1912	6626
224	1920	6614
225	1930	6610
226	1937	6597
227	1944	6583
228	1951	6569
229	1961	6566
230	1969	6554
231	1978	6549
232	1990	6553
233	2000	6547
234	2007	6534
235	2017	6529
236	2026	6523
237	2038	6525
238	2047	6520
239	2055	6507
240	2062	6495
241	2069	6482
242	2077	6470
243	2084	6458
244	2094	6453
245	2103	6448
246	2111	6438
247	2119	6426
248	2129	6423
249	2139	6419
250	2149	6414
251	2159	6410
252	2169	6404
253	2176	6391
254	2183	6379
255	2192	6372
256	2202	6367
257	2212	6362
258	2219	6349
259	2228	6343
260	2238	6338
261	2245	6325
262	2252	6313
263	2262	6307
264	2271	6301
265	2279	6288
266	2290	6288
267	2300	6283
268	2307	6270
269	2314	6258
270	2324	6252
271	2333	6246
272	2343	6240
273	2352	6234
274	2362	6229
275	2369	6216
276	2379	6209
277	2388	6204
278	2396	6192
279	2403	6180
280	2410	6167
281	2417	6155
282	2428	6152
283	2437	6146
284	2447	6140
285	2454	6128
286	2461	6116
287	2468	6103
288	2478	6097
289	2485	6084
290	2492	6073
291	2499	6060
292	2509	6054
293	2518	6048
294	2530	6047
295	2537	6035
296	2545	6024
297	2554	6017
298	2561	6005
299	2570	5998
300	2580	5992
301	2587	5980
302	2596	5973
303	2606	5967
304	2615	5960
305	2622	5948
306	2632	5942
