,threshold,depth,n_estimators,puf_seed,train_challenge_seed,test_challenge_seed,Test split Accuracy,Test split F1,Cross_val Accuracy,Cross_val sd,Cross_val split F1,Cross_val F1 sd
0,0.1,2.0,300.0,11.0,123.0,19.0,77.0,77.60031164783796,77.0,0.3521363372331805,77.59816301359818,0.4052680248567253
1,0.1,3.0,300.0,11.0,123.0,19.0,49.68,50.70532915360501,52.080000000000005,0.9826494797230606,63.51311223200593,2.538015667127981
2,0.1,4.0,300.0,11.0,123.0,19.0,50.92,61.37865911237016,52.44,1.0613199329137288,62.57627779419938,0.688022569254639
3,0.1,5.0,300.0,11.0,123.0,19.0,50.92,61.37865911237016,52.44,0.9850888284819809,62.572462806759034,0.629092087464215
4,0.1,6.0,300.0,11.0,123.0,19.0,50.03999999999999,35.184224182667364,52.28,1.343726162579267,63.73484796351988,2.5657596653425854
5,0.1,7.0,300.0,11.0,123.0,19.0,50.92,61.37865911237016,51.959999999999994,0.7418894796396569,63.41949122857569,2.619495303059227
6,0.1,8.0,300.0,11.0,123.0,19.0,52.080000000000005,68.49026827985271,52.44000000000001,1.2515590277729622,62.565792567776654,1.2395339428411452
7,0.01,2.0,300.0,11.0,123.0,19.0,77.0,77.60031164783796,77.00000000000001,0.9208691546577078,77.60221940162573,0.8197145647434363
8,0.01,3.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.27568097504180467,98.06750380164691,0.27007342715312294
9,0.01,4.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.5176871642217918,98.06717394919018,0.5043532122436698
10,0.01,5.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.39496835316263035,98.06720737132204,0.3858791070217397
11,0.01,6.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.4242640687119289,98.06814056591855,0.4088937463283485
12,0.01,7.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.268328157299975,98.0670681283789,0.26572079555298256
13,0.01,8.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.37416573867739444,98.06693302443938,0.3675011178432773
14,0.05,2.0,300.0,11.0,123.0,19.0,77.0,77.60031164783796,77.0,1.7832554500127022,77.59527643682405,1.7983866485485636
15,0.05,3.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.4560701700396556,98.06769326576558,0.4419846854731867
16,0.05,4.0,300.0,11.0,123.0,19.0,49.68,50.70532915360501,52.18000000000001,0.9239047569960886,63.522946156963364,2.5586092904605837
17,0.05,5.0,300.0,11.0,123.0,19.0,50.92,61.37865911237016,51.99999999999999,1.1117553687749848,63.434248060149734,2.6377412631103647
