,threshold,depth,n_estimators,puf_seed,train_challenge_seed,test_challenge_seed,Test split Accuracy,Test split F1,Cross_val Accuracy,Cross_val sd,Cross_val split F1,Cross_val F1 sd
0,0.1,4.0,300.0,11.0,123.0,19.0,52.080000000000005,68.49026827985271,52.44,1.4880860190190632,62.575652758011,1.1316379116869808
1,0.1,4.0,400.0,11.0,123.0,19.0,50.92,61.37865911237016,51.57999999999999,0.46647615158762445,64.62972274019968,3.185627616677826
2,0.1,4.0,500.0,11.0,123.0,19.0,50.92,61.37865911237016,51.96000000000001,0.6560487786742697,63.436053204536236,2.5772177972512758
3,0.1,4.0,600.0,11.0,123.0,19.0,49.68,50.70532915360501,52.44000000000001,0.2870540018881467,62.57361633423836,0.2894346235741651
4,0.1,4.0,700.0,11.0,123.0,19.0,52.44,62.57475605917532,52.2,0.8197560612767685,63.66863681948204,2.530387470753551
5,0.01,4.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.3033150177620623,98.06826088376485,0.2914522982376041
6,0.01,4.0,400.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.6542170893518456,98.06478518470666,0.641275633631792
7,0.01,4.0,500.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.3687817782917158,98.06931522994654,0.34653822894679215
8,0.01,4.0,600.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.16733200530681525,98.06761205321456,0.16562570305986865
9,0.01,4.0,700.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.2828427124746193,98.06713542323845,0.2790100361938135
10,0.05,4.0,300.0,11.0,123.0,19.0,52.080000000000005,68.49026827985271,51.97999999999999,0.3059411708155674,63.55724657931048,2.5520190130448692
11,0.05,4.0,400.0,11.0,123.0,19.0,49.68,50.70532915360501,51.519999999999996,1.1720068259186902,64.25826592680623,3.5594989026720847
12,0.05,4.0,500.0,11.0,123.0,19.0,50.92,61.37865911237016,51.82,0.6400000000000007,64.6185513491914,3.206802757091661
13,0.05,4.0,600.0,11.0,123.0,19.0,50.03999999999999,35.184224182667364,51.800000000000004,0.3346640106136305,64.59162300800776,3.238195632343081
14,0.05,4.0,700.0,11.0,123.0,19.0,50.92,61.37865911237016,52.44000000000001,1.2191800523302547,62.573115096984054,1.0065308218241469
15,0.001,4.0,300.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,98.00000000000001,0.3033150177620623,98.06711331187256,0.2995956756823807
16,0.001,4.0,400.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,97.99999999999999,0.5621387729022084,98.06741594943989,0.5466493032465032
17,0.001,4.0,500.0,11.0,123.0,19.0,97.92,97.99305287533771,98.02,0.3124099870362665,98.08785621561181,0.3011838189812352
18,0.001,4.0,600.0,11.0,123.0,19.0,97.92,97.992277992278,97.93999999999998,0.2653299832284322,98.01098770189786,0.2574257812153824
19,0.001,4.0,700.0,11.0,123.0,19.0,97.82,97.89778206364512,97.98,0.36551333764994165,98.04795824443906,0.36100320580346484
20,0.005,4.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.39496835316263035,98.06682263137633,0.38719531339663227
21,0.005,4.0,400.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.509901951359279,98.06697506917847,0.4970691163229358
22,0.005,4.0,500.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.4732863826479697,98.06682499886159,0.4617415179636293
23,0.005,4.0,600.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.37947331922020583,98.06739680948387,0.36897327298732463
24,0.005,4.0,700.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.28982753492378904,98.06815136872406,0.27906342614278373
25,0.0001,4.0,300.0,11.0,123.0,19.0,97.98,98.0490631639946,97.99999999999999,0.47749345545253324,98.06666698652214,0.4674968141258089
26,0.0001,4.0,400.0,11.0,123.0,19.0,97.92,97.99305287533771,97.98,0.3867815921162747,98.0490231049162,0.37296213318803895
27,0.0001,4.0,500.0,11.0,123.0,19.0,97.94,98.01119907318014,98.02,0.44452221541785775,98.08666723401856,0.43293474667591514
28,0.0001,4.0,600.0,11.0,123.0,19.0,97.92,97.992277992278,98.00000000000001,0.5176871642217918,98.06851106498732,0.4971722209324715
29,0.0001,4.0,700.0,11.0,123.0,19.0,97.98,98.0490631639946,98.02,0.1326649916142161,98.08718397172633,0.1354192618231676
30,0.0005,4.0,300.0,11.0,123.0,19.0,97.94,98.01119907318014,98.00000000000001,0.30331501776206227,98.06909761557604,0.29003465894479324
31,0.0005,4.0,400.0,11.0,123.0,19.0,97.98,98.0490631639946,98.00000000000001,0.37416573867739444,98.06844924915153,0.35917150496947503
32,0.0005,4.0,500.0,11.0,123.0,19.0,97.92,97.992277992278,97.96,0.5885575587824871,98.02920482831247,0.5691504999845092
33,0.0005,4.0,600.0,11.0,123.0,19.0,97.94,98.01119907318014,97.98,0.24819347291981736,98.04997757467424,0.2381335607708928
34,0.0005,4.0,700.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,98.00000000000001,0.7321202087089257,98.06554238947405,0.7156544165325107
