,PUF type,CRPs number,Test split Accuracy,Test split F1
0,APUF,5000.0,50.92,61.37865911237016
1,2 XOR-APUF,5000.0,94.66,94.48688829238075
2,3 XOR-APUF,5000.0,51.06,51.438777535225256
3,4 XOR-APUF,5000.0,91.4,91.48177496038035
4,5 XOR-APUF,5000.0,55.67999999999999,55.466237942122184
5,6 XOR-APUF,5000.0,84.08,84.06725380304243
6,FF-2-XOR-APUF,5000.0,95.42,95.24994814353869
7,FF-3-XOR-APUF,5000.0,51.459999999999994,51.489106536078346
8,FF-4-XOR-APUF,5000.0,89.18,89.25094377111068
9,FF-5-XOR-APUF,5000.0,55.300000000000004,55.39812412692078
10,FF-6-XOR-APUF,5000.0,84.2,84.22523961661342
