,PUF type,CRPs number,Test split Accuracy,Test split F1
0,APUF,5000.0,50.32,53.67400223797091
1,2 XOR-APUF,5000.0,72.82,71.45557655954632
2,3 XOR-APUF,5000.0,50.68,49.79641693811075
3,4 XOR-APUF,5000.0,67.97999999999999,68.05028936340052
4,5 XOR-APUF,5000.0,51.94,51.96881870877472
5,6 XOR-APUF,5000.0,64.62,65.03261514133227
6,FF-2-XOR-APUF,5000.0,73.3,72.43444146190377
7,FF-3-XOR-APUF,5000.0,51.160000000000004,52.00471698113207
8,FF-4-XOR-APUF,5000.0,68.58,67.86663939455921
9,FF-5-XOR-APUF,5000.0,50.7,49.683608899775464
10,FF-6-XOR-APUF,5000.0,64.28,64.10771704180064
