,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,50.6,52.316602316602314,0 days 00:00:09.667625,0 days 00:00:00.019968
1,2 XOR-APUF,5000.0,51.6,38.42239185750636,0 days 00:00:11.410298,0 days 00:00:00.148004
2,3 XOR-APUF,5000.0,52.900000000000006,50.15873015873016,0 days 00:00:12.045030,0 days 00:00:00.015966
3,4 XOR-APUF,5000.0,51.7,50.46153846153846,0 days 00:00:14.105125,0 days 00:00:00.015957
4,5 XOR-APUF,5000.0,52.6,53.069306930693074,0 days 00:00:16.643086,0 days 00:00:00.014999
5,6 XOR-APUF,5000.0,47.599999999999994,43.53448275862069,0 days 00:00:18.879494,0 days 00:00:00.014961
6,FF-2-XOR-APUF,5000.0,54.7,43.86617100371747,0 days 00:00:21.891508,0 days 00:00:00.014968
7,FF-3-XOR-APUF,5000.0,50.8,49.79591836734694,0 days 00:00:31.662146,0 days 00:00:00.014998
8,FF-4-XOR-APUF,5000.0,49.7,48.934010152284266,0 days 00:00:40.578032,0 days 00:00:00.020968
9,FF-5-XOR-APUF,5000.0,47.8,48.21428571428571,0 days 00:00:54.348231,0 days 00:00:00.019998
10,FF-6-XOR-APUF,5000.0,50.5,47.61904761904762,0 days 00:01:03.980999,0 days 00:00:00.019000
11,"Generic framework(1,1,1)",5000.0,63.26666666666667,59.633699633699635,0 days 00:00:57.504108,0 days 00:00:00.031967
12,"Generic framework(4,4,4)",5000.0,56.666666666666664,56.34654130288784,0 days 00:00:55.062001,0 days 00:00:00.032000
