,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,47.699999999999996,57.99196787148594,0 days 00:00:04.171000,0 days 00:00:00.008999
1,2 XOR-APUF,5000.0,92.9,92.45483528161532,0 days 00:00:06.728001,0 days 00:00:00.010999
2,3 XOR-APUF,5000.0,53.1,52.48226950354611,0 days 00:00:09.073059,0 days 00:00:00.008980
3,4 XOR-APUF,5000.0,90.5,90.67713444553482,0 days 00:00:11.597001,0 days 00:00:00.010000
4,5 XOR-APUF,5000.0,54.50000000000001,54.2713567839196,0 days 00:00:13.676195,0 days 00:00:00.009969
5,6 XOR-APUF,5000.0,84.1,84.11588411588411,0 days 00:00:16.267031,0 days 00:00:00.008970
6,FF-2-XOR-APUF,5000.0,94.3,94.04388714733543,0 days 00:00:19.142030,0 days 00:00:00.008969
7,FF-3-XOR-APUF,5000.0,54.900000000000006,55.82761998041137,0 days 00:00:27.707276,0 days 00:00:00.008992
8,FF-4-XOR-APUF,5000.0,89.3,88.95768833849328,0 days 00:00:36.774111,0 days 00:00:00.009998
9,FF-5-XOR-APUF,5000.0,56.39999999999999,55.87044534412956,0 days 00:00:46.434036,0 days 00:00:00.008968
10,FF-6-XOR-APUF,5000.0,85.1,84.84231943031536,0 days 00:00:54.683001,0 days 00:00:00.009998
11,"Generic framework(1,1,1)",5000.0,76.73333333333333,76.1449077238551,0 days 00:00:51.508312,0 days 00:00:00.016999
12,"Generic framework(4,4,4)",5000.0,75.3,73.20072332730561,0 days 00:00:54.237609,0 days 00:00:00.081690
