,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,49.2,52.34521575984989,0 days 00:00:09.159872,0 days 00:00:00.019998
1,2 XOR-APUF,5000.0,73.8,73.9562624254473,0 days 00:00:11.135040,0 days 00:00:00.009961
2,3 XOR-APUF,5000.0,50.0,47.03389830508474,0 days 00:00:19.140999,0 days 00:00:00.025000
3,4 XOR-APUF,5000.0,71.0,71.51277013752456,0 days 00:00:20.940038,0 days 00:00:00.011963
4,5 XOR-APUF,5000.0,52.800000000000004,51.440329218106996,0 days 00:00:30.089000,0 days 00:00:00.026999
5,6 XOR-APUF,5000.0,65.3,65.4726368159204,0 days 00:00:31.175000,0 days 00:00:00.020002
6,FF-2-XOR-APUF,5000.0,72.6,71.57676348547717,0 days 00:00:25.428002,0 days 00:00:00.012999
7,FF-3-XOR-APUF,5000.0,55.00000000000001,56.14035087719298,0 days 00:00:39.306001,0 days 00:00:00.022999
8,FF-4-XOR-APUF,5000.0,69.19999999999999,67.98336798336798,0 days 00:00:48.621072,0 days 00:00:00.011974
9,FF-5-XOR-APUF,5000.0,53.0,49.57081545064377,0 days 00:01:03.245062,0 days 00:00:00.015996
10,FF-6-XOR-APUF,5000.0,64.0,63.636363636363626,0 days 00:01:11.185531,0 days 00:00:00.016971
11,"Generic framework(1,1,1)",5000.0,63.16666666666667,61.02292768959436,0 days 00:01:14.104898,0 days 00:00:00.033968
12,"Generic framework(4,4,4)",5000.0,64.8,64.87025948103793,0 days 00:01:14.349541,0 days 00:00:00.029972
