,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,98.1,98.1243830207305,0 days 00:00:10.847026,0 days 00:00:00.006003
1,"Generic framework(3,0,0)",5000.0,96.13333333333334,96.11520428667116,0 days 00:00:10.963998,0 days 00:00:00.006996
2,"Generic framework(4,0,0)",5000.0,97.1,97.12015888778551,0 days 00:00:10.850712,0 days 00:00:00.005997
3,"Generic framework(5,0,0)",5000.0,97.33333333333334,97.36147757255937,0 days 00:00:10.923922,0 days 00:00:00.005997
4,"Generic framework(6,0,0)",5000.0,98.0,98.04049640757675,0 days 00:00:10.782675,0 days 00:00:00.005964
5,"Generic framework(7,0,0)",5000.0,97.09903301100367,97.14097929674664,0 days 00:00:10.796286,0 days 00:00:00.006080
6,"Generic framework(8,0,0)",5000.0,97.33333333333334,97.289972899729,0 days 00:00:10.819089,0 days 00:00:00.005999
7,"Generic framework(9,0,0)",5000.0,96.96565521840613,96.94323144104804,0 days 00:00:10.801160,0 days 00:00:00.005975
8,"Generic framework(10,0,0)",5000.0,96.83333333333334,96.8174204355109,0 days 00:00:10.779490,0 days 00:00:00.006031
9,"Generic framework(20,0,0)",5000.0,96.7,96.76576282260699,0 days 00:00:10.818499,0 days 00:00:00.005999
10,"Generic framework(0,2,0)",5000.0,94.5,94.36667804711504,0 days 00:00:32.407259,0 days 00:00:00.007000
11,"Generic framework(0,3,0)",5000.0,94.53333333333333,94.5551128818061,0 days 00:00:32.394875,0 days 00:00:00.005999
12,"Generic framework(0,4,0)",5000.0,93.03333333333333,93.05417082087072,0 days 00:00:33.000370,0 days 00:00:00.008506
13,"Generic framework(0,5,0)",5000.0,92.5,92.63984298331698,0 days 00:00:33.073563,0 days 00:00:00.008000
14,"Generic framework(0,6,0)",5000.0,93.36666666666666,93.40841338191456,0 days 00:00:33.207002,0 days 00:00:00.007999
15,"Generic framework(0,7,0)",5000.0,92.46415471823941,92.32336956521739,0 days 00:00:33.319814,0 days 00:00:00.008030
16,"Generic framework(0,8,0)",5000.0,91.73333333333333,91.8421052631579,0 days 00:00:32.898610,0 days 00:00:00.007000
17,"Generic framework(0,9,0)",5000.0,93.29776592197399,93.18413021363173,0 days 00:00:32.951931,0 days 00:00:00.006000
18,"Generic framework(0,10,0)",5000.0,92.53333333333333,92.56308100929614,0 days 00:00:32.659823,0 days 00:00:00.008000
19,"Generic framework(0,20,0)",5000.0,91.03333333333333,90.9274873524452,0 days 00:00:33.484199,0 days 00:00:00.007004
20,"Generic framework(0,0,2)",5000.0,95.06666666666666,95.04685408299865,0 days 00:01:48.196430,0 days 00:00:00.006993
21,"Generic framework(0,0,3)",5000.0,93.46666666666667,93.47536617842876,0 days 00:01:47.903871,0 days 00:00:00.005973
22,"Generic framework(0,0,4)",5000.0,93.2,93.1081081081081,0 days 00:01:49.560614,0 days 00:00:00.006437
23,"Generic framework(0,0,5)",5000.0,92.73333333333333,92.79100529100529,0 days 00:01:47.706944,0 days 00:00:00.007031
24,"Generic framework(0,0,6)",5000.0,93.53333333333333,93.46801346801345,0 days 00:01:47.568678,0 days 00:00:00.006968
25,"Generic framework(0,0,7)",5000.0,93.63121040346782,93.54075076090633,0 days 00:01:47.930236,0 days 00:00:00.006990
26,"Generic framework(0,0,8)",5000.0,92.16666666666666,91.9492977046934,0 days 00:01:48.530247,0 days 00:00:00.008006
27,"Generic framework(0,0,9)",5000.0,92.93097699233077,92.96148738379813,0 days 00:01:47.368662,0 days 00:00:00.006515
28,"Generic framework(0,0,10)",5000.0,92.46666666666667,92.52645502645503,0 days 00:01:47.862085,0 days 00:00:00.007030
29,"Generic framework(0,0,20)",5000.0,91.36666666666666,91.51098000655523,0 days 00:01:47.799400,0 days 00:00:00.006032
