,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,2,0)",5000.0,83.89999999999999,83.28141225337488,0 days 00:00:10.724716,0 days 00:00:00.523866
1,"Generic framework(0,3,0)",5000.0,84.8,83.11111111111111,0 days 00:00:10.951805,0 days 00:00:00.553619
2,"Generic framework(0,4,0)",5000.0,81.8,80.0875273522976,0 days 00:00:11.271587,0 days 00:00:00.568053
3,"Generic framework(0,5,0)",5000.0,82.3,81.19022316684378,0 days 00:00:11.477592,0 days 00:00:01.118049
4,"Generic framework(0,6,0)",5000.0,80.5,79.09967845659163,0 days 00:00:13.637229,0 days 00:00:00.903660
5,"Generic framework(0,7,0)",5000.0,80.80000000000001,79.35483870967742,0 days 00:00:16.253011,0 days 00:00:00.612875
6,"Generic framework(0,8,0)",5000.0,79.0,76.92307692307693,0 days 00:00:12.350236,0 days 00:00:00.658114
7,"Generic framework(0,9,0)",5000.0,78.77877877877879,75.85421412300683,0 days 00:00:12.001933,0 days 00:00:00.803113
8,"Generic framework(0,10,0)",5000.0,77.3,74.97243660418965,0 days 00:00:13.539554,0 days 00:00:02.243246
9,"Generic framework(0,20,0)",5000.0,76.8,73.39449541284402,0 days 00:00:13.476880,0 days 00:00:00.637110
