,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,93.53333333333333,93.07142857142857,0 days 00:00:10.801723,0 days 00:00:03.612658
1,"Generic framework(3,0,0)",5000.0,91.3,90.64180709931875,0 days 00:00:10.774493,0 days 00:00:03.447860
2,"Generic framework(4,0,0)",5000.0,89.73333333333333,89.32778932778932,0 days 00:00:10.954609,0 days 00:00:03.414742
3,"Generic framework(5,0,0)",5000.0,90.63333333333333,90.36020583190394,0 days 00:00:10.827103,0 days 00:00:03.383226
4,"Generic framework(6,0,0)",5000.0,92.0,91.62595952547103,0 days 00:00:10.847436,0 days 00:00:03.419223
5,"Generic framework(7,0,0)",5000.0,90.53017672557519,89.86438258386866,0 days 00:00:10.900459,0 days 00:00:03.490093
6,"Generic framework(8,0,0)",5000.0,90.03333333333333,89.68609865470853,0 days 00:00:10.802648,0 days 00:00:03.399440
7,"Generic framework(9,0,0)",5000.0,88.36278759586529,87.05009276437849,0 days 00:00:10.798769,0 days 00:00:03.505986
8,"Generic framework(10,0,0)",5000.0,89.36666666666667,89.19010504913588,0 days 00:00:10.867455,0 days 00:00:03.389697
9,"Generic framework(20,0,0)",5000.0,89.60000000000001,89.09853249475891,0 days 00:00:11.385547,0 days 00:00:03.383221
10,"Generic framework(0,2,0)",5000.0,87.33333333333333,86.37992831541219,0 days 00:00:32.459727,0 days 00:00:03.418931
11,"Generic framework(0,3,0)",5000.0,86.03333333333333,85.2204585537919,0 days 00:00:32.310826,0 days 00:00:03.418396
12,"Generic framework(0,4,0)",5000.0,84.26666666666667,83.04597701149426,0 days 00:00:32.552393,0 days 00:00:03.389542
13,"Generic framework(0,5,0)",5000.0,84.83333333333334,83.97323001056711,0 days 00:00:32.383790,0 days 00:00:03.295947
14,"Generic framework(0,6,0)",5000.0,86.16666666666667,85.18386290610496,0 days 00:00:32.512388,0 days 00:00:03.444901
15,"Generic framework(0,7,0)",5000.0,83.09436478826275,81.80839612486544,0 days 00:00:32.348367,0 days 00:00:03.450041
16,"Generic framework(0,8,0)",5000.0,82.46666666666667,80.81692195477753,0 days 00:00:32.352626,0 days 00:00:03.494950
17,"Generic framework(0,9,0)",5000.0,84.26142047349117,82.92329956584659,0 days 00:00:32.422778,0 days 00:00:03.254814
18,"Generic framework(0,10,0)",5000.0,81.69999999999999,80.7570977917981,0 days 00:00:32.485706,0 days 00:00:03.303706
19,"Generic framework(0,20,0)",5000.0,80.9,78.4829140067593,0 days 00:00:32.021542,0 days 00:00:03.329926
20,"Generic framework(0,0,2)",5000.0,88.3,87.61030709495235,0 days 00:01:47.612188,0 days 00:00:03.367812
21,"Generic framework(0,0,3)",5000.0,86.06666666666666,85.33333333333333,0 days 00:01:47.344397,0 days 00:00:03.589319
22,"Generic framework(0,0,4)",5000.0,85.13333333333334,84.27362482369536,0 days 00:01:48.663553,0 days 00:00:03.420310
23,"Generic framework(0,0,5)",5000.0,84.63333333333334,83.92047436344609,0 days 00:01:48.964341,0 days 00:00:03.412228
24,"Generic framework(0,0,6)",5000.0,85.2,83.93632416787264,0 days 00:01:47.656115,0 days 00:00:03.279970
25,"Generic framework(0,0,7)",5000.0,84.66155385128377,83.74558303886926,0 days 00:01:47.290662,0 days 00:00:03.449895
26,"Generic framework(0,0,8)",5000.0,83.36666666666666,82.12110354711572,0 days 00:01:47.866231,0 days 00:00:03.478986
27,"Generic framework(0,0,9)",5000.0,83.49449816605535,81.91450493240774,0 days 00:01:54.244481,0 days 00:00:03.682735
28,"Generic framework(0,0,10)",5000.0,83.39999999999999,82.75623268698061,0 days 00:01:50.429056,0 days 00:00:03.571498
29,"Generic framework(0,0,20)",5000.0,79.46666666666667,77.01492537313432,0 days 00:01:52.831664,0 days 00:00:03.703609
