,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,2,0)",5000.0,95.13333333333334,95.02724795640329,0 days 00:00:32.279275,0 days 00:00:00.004999
1,"Generic framework(0,3,0)",5000.0,93.0,93.05555555555556,0 days 00:00:32.299583,0 days 00:00:00.004024
2,"Generic framework(0,4,0)",5000.0,93.16666666666666,93.08600337268128,0 days 00:00:32.335525,0 days 00:00:00.004010
3,"Generic framework(0,5,0)",5000.0,93.06666666666666,93.22033898305084,0 days 00:00:32.478657,0 days 00:00:00.004103
4,"Generic framework(0,6,0)",5000.0,91.96666666666667,92.31259968102073,0 days 00:00:32.344703,0 days 00:00:00.004955
5,"Generic framework(0,7,0)",5000.0,91.86395465155051,91.73441734417345,0 days 00:00:32.480170,0 days 00:00:00.004029
6,"Generic framework(0,8,0)",5000.0,92.33333333333333,92.3841059602649,0 days 00:00:32.422825,0 days 00:00:00.004999
7,"Generic framework(0,9,0)",5000.0,93.26442147382461,93.0344827586207,0 days 00:00:32.098062,0 days 00:00:00.005000
8,"Generic framework(0,10,0)",5000.0,92.46666666666667,92.56578947368422,0 days 00:00:32.173700,0 days 00:00:00.004000
9,"Generic framework(0,20,0)",5000.0,91.3,91.50113969391077,0 days 00:00:32.155005,0 days 00:00:00.003995
