,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,99.0,99.03288201160542,0 days 00:00:04.049837,0 days 00:00:00.934985
1,"Generic framework(3,0,0)",5000.0,97.7,97.72502472799209,0 days 00:00:03.976984,0 days 00:00:00.899090
2,"Generic framework(4,0,0)",5000.0,98.7,98.69083585095669,0 days 00:00:03.983538,0 days 00:00:00.884884
3,"Generic framework(5,0,0)",5000.0,97.39999999999999,97.37903225806451,0 days 00:00:03.944320,0 days 00:00:00.811246
4,"Generic framework(6,0,0)",5000.0,98.8,98.8394584139265,0 days 00:00:03.951827,0 days 00:00:00.756707
5,"Generic framework(7,0,0)",5000.0,97.39999999999999,97.44094488188976,0 days 00:00:03.899251,0 days 00:00:00.643244
6,"Generic framework(8,0,0)",5000.0,97.89999999999999,97.89789789789789,0 days 00:00:03.891453,0 days 00:00:00.610527
7,"Generic framework(9,0,0)",5000.0,97.7977977977978,97.89674952198853,0 days 00:00:03.841117,0 days 00:00:00.574291
8,"Generic framework(10,0,0)",5000.0,97.1,97.23546234509057,0 days 00:00:03.906680,0 days 00:00:00.595007
9,"Generic framework(20,0,0)",5000.0,94.8,94.70468431771893,0 days 00:00:03.962025,0 days 00:00:00.512847
