,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,99.5,99.49443882709808,0 days 00:00:11.385637,0 days 00:00:00.156395
1,"Generic framework(3,0,0)",5000.0,98.23333333333333,98.252555225849,0 days 00:00:11.246546,0 days 00:00:00.154384
2,"Generic framework(4,0,0)",5000.0,99.1,99.07565902088325,0 days 00:00:11.377005,0 days 00:00:00.162962
3,"Generic framework(5,0,0)",5000.0,97.96666666666667,98.00588427590715,0 days 00:00:11.302188,0 days 00:00:00.165254
4,"Generic framework(6,0,0)",5000.0,98.3,98.27294277006435,0 days 00:00:11.431519,0 days 00:00:00.166743
5,"Generic framework(7,0,0)",5000.0,98.26608869623207,98.28155981493721,0 days 00:00:11.267382,0 days 00:00:00.158118
6,"Generic framework(8,0,0)",5000.0,97.66666666666667,97.62550881953868,0 days 00:00:11.214240,0 days 00:00:00.162141
7,"Generic framework(9,0,0)",5000.0,97.99933311103702,97.96472184531885,0 days 00:00:11.328323,0 days 00:00:00.161383
8,"Generic framework(10,0,0)",5000.0,98.16666666666667,98.15621857190747,0 days 00:00:11.513033,0 days 00:00:00.168510
9,"Generic framework(20,0,0)",5000.0,98.06666666666666,98.05499664654594,0 days 00:00:11.333491,0 days 00:00:00.166030
10,"Generic framework(0,2,0)",5000.0,94.36666666666666,94.26146010186758,0 days 00:00:33.019912,0 days 00:00:00.185383
11,"Generic framework(0,3,0)",5000.0,94.1,94.03035413153457,0 days 00:00:32.953658,0 days 00:00:00.181657
12,"Generic framework(0,4,0)",5000.0,92.96666666666667,93.06605323693724,0 days 00:00:33.765602,0 days 00:00:00.179553
13,"Generic framework(0,5,0)",5000.0,93.30000000000001,93.24823647967753,0 days 00:00:32.797280,0 days 00:00:00.177466
14,"Generic framework(0,6,0)",5000.0,93.36666666666666,93.43451006268559,0 days 00:00:32.676351,0 days 00:00:00.177009
15,"Generic framework(0,7,0)",5000.0,93.39779926642214,93.26988443235895,0 days 00:00:32.542487,0 days 00:00:00.175526
16,"Generic framework(0,8,0)",5000.0,92.4,92.33355749831877,0 days 00:00:32.657056,0 days 00:00:00.177470
17,"Generic framework(0,9,0)",5000.0,92.89763254418139,92.80648429584599,0 days 00:00:33.586111,0 days 00:00:00.181803
18,"Generic framework(0,10,0)",5000.0,92.93333333333334,92.92861907938625,0 days 00:00:32.771064,0 days 00:00:00.178094
19,"Generic framework(0,20,0)",5000.0,91.76666666666667,91.76941019660113,0 days 00:00:35.731207,0 days 00:00:00.181180
20,"Generic framework(0,0,2)",5000.0,94.1,94.12155430089672,0 days 00:01:48.492647,0 days 00:00:00.179484
21,"Generic framework(0,0,3)",5000.0,93.73333333333333,93.75830013280212,0 days 00:01:48.767169,0 days 00:00:00.179867
22,"Generic framework(0,0,4)",5000.0,93.60000000000001,93.53535353535352,0 days 00:01:48.456391,0 days 00:00:00.184438
23,"Generic framework(0,0,5)",5000.0,93.16666666666666,92.97223174494343,0 days 00:01:50.675669,0 days 00:00:00.190530
24,"Generic framework(0,0,6)",5000.0,93.86666666666666,93.85437541750167,0 days 00:01:53.100122,0 days 00:00:00.217126
25,"Generic framework(0,0,7)",5000.0,92.53084361453818,92.34972677595628,0 days 00:01:48.259037,0 days 00:00:00.179935
26,"Generic framework(0,0,8)",5000.0,93.13333333333334,93.25916230366492,0 days 00:01:48.958101,0 days 00:00:00.179968
27,"Generic framework(0,0,9)",5000.0,92.99766588862954,92.69311064718163,0 days 00:01:48.515563,0 days 00:00:00.180121
28,"Generic framework(0,0,10)",5000.0,93.30000000000001,93.10463121783876,0 days 00:01:49.760776,0 days 00:00:00.195257
29,"Generic framework(0,0,20)",5000.0,92.0,91.81446111869032,0 days 00:01:48.791717,0 days 00:00:00.181436
