,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,2,0)",5000.0,93.4,93.67816091954023,0 days 00:00:11.560506,0 days 00:00:01.285940
1,"Generic framework(0,3,0)",5000.0,93.4,93.36016096579476,0 days 00:00:11.338643,0 days 00:00:01.123534
2,"Generic framework(0,4,0)",5000.0,91.8,91.76706827309236,0 days 00:00:11.308046,0 days 00:00:01.135935
3,"Generic framework(0,5,0)",5000.0,91.3,91.23867069486407,0 days 00:00:11.299772,0 days 00:00:01.115355
4,"Generic framework(0,6,0)",5000.0,90.9,90.81735620585268,0 days 00:00:11.229349,0 days 00:00:00.998482
5,"Generic framework(0,7,0)",5000.0,93.10000000000001,93.05135951661633,0 days 00:00:11.426789,0 days 00:00:01.000687
6,"Generic framework(0,8,0)",5000.0,90.10000000000001,89.82528263103802,0 days 00:00:11.426621,0 days 00:00:01.006960
7,"Generic framework(0,9,0)",5000.0,91.4914914914915,91.33537206931703,0 days 00:00:11.307356,0 days 00:00:00.954535
8,"Generic framework(0,10,0)",5000.0,90.2,90.1010101010101,0 days 00:00:11.349343,0 days 00:00:00.957295
9,"Generic framework(0,20,0)",5000.0,90.0,89.81670061099797,0 days 00:00:11.611127,0 days 00:00:00.861186
