,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,0,2)",5000.0,94.3,94.03141361256544,0 days 00:00:36.570524,0 days 00:00:01.220901
1,"Generic framework(0,0,3)",5000.0,92.9,93.1665062560154,0 days 00:00:36.457487,0 days 00:00:01.166721
2,"Generic framework(0,0,4)",5000.0,92.2,91.8580375782881,0 days 00:00:37.859199,0 days 00:00:01.165873
3,"Generic framework(0,0,5)",5000.0,92.30000000000001,92.23007063572149,0 days 00:00:36.564066,0 days 00:00:01.138460
4,"Generic framework(0,0,6)",5000.0,92.80000000000001,92.74193548387096,0 days 00:00:36.887155,0 days 00:00:01.059610
5,"Generic framework(0,0,7)",5000.0,90.2,90.25844930417495,0 days 00:00:36.372866,0 days 00:00:01.028086
6,"Generic framework(0,0,8)",5000.0,90.2,89.72746331236897,0 days 00:00:36.826530,0 days 00:00:01.040992
7,"Generic framework(0,0,9)",5000.0,91.1911911911912,91.2,0 days 00:00:36.527212,0 days 00:00:00.982119
8,"Generic framework(0,0,10)",5000.0,89.5,89.31841302136317,0 days 00:00:36.425758,0 days 00:00:00.954135
9,"Generic framework(0,0,20)",5000.0,89.7,89.50050968399592,0 days 00:00:36.573724,0 days 00:00:00.823656
