,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,96.7,96.88385269121812,0 days 00:00:03.847036,0 days 00:00:00.009001
1,2 XOR-APUF,5000.0,92.2,91.78947368421052,0 days 00:00:06.202539,0 days 00:00:00.008968
2,3 XOR-APUF,5000.0,89.9,89.8898898898899,0 days 00:00:08.548029,0 days 00:00:00.007999
3,4 XOR-APUF,5000.0,88.4,88.4,0 days 00:00:11.415001,0 days 00:00:00.009999
4,5 XOR-APUF,5000.0,85.8,85.8,0 days 00:00:13.546002,0 days 00:00:00.009000
5,6 XOR-APUF,5000.0,82.39999999999999,82.1501014198783,0 days 00:00:16.149999,0 days 00:00:00.010001
6,FF-2-XOR-APUF,5000.0,93.60000000000001,93.4560327198364,0 days 00:00:19.203040,0 days 00:00:00.009001
7,FF-3-XOR-APUF,5000.0,89.1,88.97876643073812,0 days 00:00:27.549068,0 days 00:00:00.007969
8,FF-4-XOR-APUF,5000.0,86.8,86.66666666666666,0 days 00:00:36.004042,0 days 00:00:00.007998
9,FF-5-XOR-APUF,5000.0,85.39999999999999,85.39999999999999,0 days 00:00:44.969001,0 days 00:00:00.007998
10,FF-6-XOR-APUF,5000.0,83.1,83.08308308308308,0 days 00:00:52.607123,0 days 00:00:00.008000
11,"Generic framework(1,1,1)",5000.0,81.96666666666667,78.15906338312473,0 days 00:00:49.621116,0 days 00:00:00.012998
12,"Generic framework(2,2,2)",5000.0,83.03333333333333,84.4769746874047,0 days 00:00:49.872103,0 days 00:00:00.013000
13,"Generic framework(3,3,3)",5000.0,90.86362120706902,90.72444143534192,0 days 00:00:50.272913,0 days 00:00:00.032000
14,"Generic framework(4,4,4)",5000.0,82.23333333333333,80.80662585523946,0 days 00:00:50.408838,0 days 00:00:00.012998
15,"Generic framework(5,5,5)",5000.0,71.73333333333333,69.75748930099857,0 days 00:00:50.366031,0 days 00:00:00.012966
16,"Generic framework(6,6,6)",5000.0,89.79659886628878,89.8,0 days 00:00:53.564600,0 days 00:00:00.012969
