,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,50.2,55.296229802513466,0 days 00:00:03.801106,0 days 00:00:00.009968
1,2 XOR-APUF,5000.0,53.400000000000006,12.075471698113208,0 days 00:00:06.275259,0 days 00:00:00.008998
2,3 XOR-APUF,5000.0,51.9,41.41291108404385,0 days 00:00:08.691085,0 days 00:00:00.007969
3,4 XOR-APUF,5000.0,50.5,53.86766076421249,0 days 00:00:10.979074,0 days 00:00:00.008997
4,5 XOR-APUF,5000.0,50.8,50.20242914979757,0 days 00:00:13.317202,0 days 00:00:00.008999
5,6 XOR-APUF,5000.0,49.5,40.79718640093787,0 days 00:00:15.742118,0 days 00:00:00.008966
6,FF-2-XOR-APUF,5000.0,55.1,21.36602451838879,0 days 00:00:18.718003,0 days 00:00:00.008997
7,FF-3-XOR-APUF,5000.0,51.5,53.41018251681076,0 days 00:00:32.249099,0 days 00:00:00.008998
8,FF-4-XOR-APUF,5000.0,48.8,38.60911270983213,0 days 00:00:36.001068,0 days 00:00:00.009001
9,FF-5-XOR-APUF,5000.0,48.6,54.673721340388006,0 days 00:00:44.568015,0 days 00:00:00.010002
10,FF-6-XOR-APUF,5000.0,47.8,46.18556701030928,0 days 00:00:53.408063,0 days 00:00:00.008976
11,"Generic framework(1,1,1)",5000.0,51.96666666666667,37.96814464055102,0 days 00:00:51.116662,0 days 00:00:00.013999
12,"Generic framework(4,4,4)",5000.0,52.43333333333333,48.35323923271806,0 days 00:00:50.723127,0 days 00:00:00.013960
