,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,99.0,99.04214559386973,0 days 00:00:03.759970,0 days 00:00:00.010000
1,2 XOR-APUF,5000.0,95.3,95.31405782652044,0 days 00:00:06.089030,0 days 00:00:00.007970
2,3 XOR-APUF,5000.0,98.7,98.76777251184834,0 days 00:00:08.525060,0 days 00:00:00.008000
3,4 XOR-APUF,5000.0,95.19999999999999,95.10204081632652,0 days 00:00:10.899041,0 days 00:00:00.006999
4,5 XOR-APUF,5000.0,90.8,91.22137404580154,0 days 00:00:13.739001,0 days 00:00:00.007999
5,6 XOR-APUF,5000.0,91.10000000000001,90.89048106448311,0 days 00:00:15.999000,0 days 00:00:00.008999
6,FF-2-XOR-APUF,5000.0,96.7,96.54450261780104,0 days 00:00:18.655082,0 days 00:00:00.007999
7,FF-3-XOR-APUF,5000.0,96.39999999999999,96.45669291338582,0 days 00:00:26.805001,0 days 00:00:00.006999
8,FF-4-XOR-APUF,5000.0,93.2,93.37231968810916,0 days 00:00:35.352091,0 days 00:00:00.007001
9,FF-5-XOR-APUF,5000.0,92.5,92.71137026239067,0 days 00:00:43.738043,0 days 00:00:00.006995
10,FF-6-XOR-APUF,5000.0,91.4,90.87048832271762,0 days 00:00:52.266183,0 days 00:00:00.007999
11,"Generic framework(1,1,1)",5000.0,96.36666666666667,96.30383180739234,0 days 00:00:49.403040,0 days 00:00:00.055001
12,"Generic framework(4,4,4)",5000.0,79.10000000000001,79.52987267384917,0 days 00:00:50.969067,0 days 00:00:00.010999
