,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000,52,53.57833656,0 days 00:00:10.501530,0 days 00:00:00.031257
1,2 XOR-APUF,5000,55.5,22.60869565,0 days 00:00:18.480230,0 days 00:00:00.015629
2,3 XOR-APUF,5000,52.5,49.4142705,0 days 00:00:26.173925,0 days 00:00:00.015630
3,4 XOR-APUF,5000,49.8,57.52961083,0 days 00:00:35.327561,0 days 00:00:00.034970
4,5 XOR-APUF,5000,50.2,40.85510689,0 days 00:00:41.649956,0 days 00:00:00.015630
5,6 XOR-APUF,5000,49.8,53.94495413,0 days 00:00:50.032193,0 days 00:00:00.015630
6,FF-2-XOR-APUF,5000,50.3,13.86481802,0 days 00:00:39.080852,0 days 00:00:00.015626
7,FF-3-XOR-APUF,5000,50.8,54.01869159,0 days 00:00:57.396041,0 days 00:00:00.015631
8,FF-4-XOR-APUF,5000,48.8,47.96747967,0 days 00:01:09.228188,0 days 00:00:00.015629
9,FF-5-XOR-APUF,5000,51.5,49.21465969,0 days 00:01:29.964932,0 days 00:00:00.015629
10,FF-6-XOR-APUF,5000,49.4,35.45918367,0 days 00:01:44.619686,0 days 00:00:00.015629
11,"Generic framework(1,1,1)",5000,50.83333333,34.12237606,0 days 00:01:55.127464,0 days 00:00:00.039000
12,"Generic framework(2,2,2)",5000,50.33333333,46.78571429,0 days 00:01:59.416648,0 days 00:00:00.020706
13,"Generic framework(3,3,3)",5000,50.31677226,55.54892601,0 days 00:02:00.759832,0 days 00:00:00.031259
14,"Generic framework(4,4,4)",5000,51.13333333,46.14254225,0 days 00:01:50.769093,0 days 00:00:00.015631
15,"Generic framework(5,5,5)",5000,51.2,53.13700384,0 days 00:01:49.337212,0 days 00:00:00.015631
16,"Generic framework(6,6,6)",5000,49.64988329,35.41488452,0 days 00:01:50.086302,0 days 00:00:00.031260
