,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,53.5,57.68880800727935,0 days 00:00:05.283970,0 days 00:00:00.008999
1,2 XOR-APUF,5000.0,50.9,33.37856173677069,0 days 00:00:09.764096,0 days 00:00:00.009999
2,3 XOR-APUF,5000.0,52.400000000000006,54.49330783938814,0 days 00:00:14.901643,0 days 00:00:00.016000
3,4 XOR-APUF,5000.0,48.1,49.067713444553476,0 days 00:00:19.738267,0 days 00:00:00.009001
4,5 XOR-APUF,5000.0,50.5,58.15722738799663,0 days 00:00:23.766109,0 days 00:00:00.007998
5,6 XOR-APUF,5000.0,51.2,57.11775043936731,0 days 00:00:27.657000,0 days 00:00:00.007973
6,FF-2-XOR-APUF,5000.0,51.9,4.3737574552683895,0 days 00:00:22.218483,0 days 00:00:00.008970
7,FF-3-XOR-APUF,5000.0,49.5,48.626653102746694,0 days 00:00:33.112999,0 days 00:00:00.010001
8,FF-4-XOR-APUF,5000.0,51.1,43.728423475258914,0 days 00:00:44.946000,0 days 00:00:00.011001
9,FF-5-XOR-APUF,5000.0,48.0,50.943396226415096,0 days 00:00:55.968107,0 days 00:00:00.010999
10,FF-6-XOR-APUF,5000.0,51.0,56.713780918727906,0 days 00:01:05.045535,0 days 00:00:00.010961
11,"Generic framework(1,1,1)",5000.0,50.3,49.81487714574217,0 days 00:01:08.332821,0 days 00:00:00.016004
12,"Generic framework(2,2,2)",5000.0,50.13333333333333,61.601642710472284,0 days 00:01:09.868328,0 days 00:00:00.015999
13,"Generic framework(3,3,3)",5000.0,49.949983327775925,54.528930627082694,0 days 00:01:08.373646,0 days 00:00:00.015961
14,"Generic framework(4,4,4)",5000.0,49.8,46.897038081805356,0 days 00:01:08.285668,0 days 00:00:00.014969
15,"Generic framework(5,5,5)",5000.0,50.13333333333333,50.23286759813706,0 days 00:01:10.871029,0 days 00:00:00.014970
16,"Generic framework(6,6,6)",5000.0,51.01700566855618,51.27694859038143,0 days 00:01:09.776023,0 days 00:00:00.014998
