,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,99.5,99.51503394762366,0 days 00:00:04.799867,0 days 00:00:00.009000
1,2 XOR-APUF,5000.0,95.6,95.4070981210856,0 days 00:00:08.725064,0 days 00:00:00.008973
2,3 XOR-APUF,5000.0,96.39999999999999,96.42147117296221,0 days 00:00:12.853061,0 days 00:00:00.008999
3,4 XOR-APUF,5000.0,94.89999999999999,94.9050949050949,0 days 00:00:16.756002,0 days 00:00:00.009000
4,5 XOR-APUF,5000.0,91.4,91.18852459016394,0 days 00:00:20.940002,0 days 00:00:00.008999
5,6 XOR-APUF,5000.0,90.5,90.85659287776708,0 days 00:00:25.266001,0 days 00:00:00.007999
6,FF-2-XOR-APUF,5000.0,96.39999999999999,96.28099173553719,0 days 00:00:21.237061,0 days 00:00:00.008979
7,FF-3-XOR-APUF,5000.0,96.39999999999999,96.34888438133873,0 days 00:00:31.490040,0 days 00:00:00.009000
8,FF-4-XOR-APUF,5000.0,94.6,94.40993788819875,0 days 00:00:41.690429,0 days 00:00:00.010000
9,FF-5-XOR-APUF,5000.0,92.30000000000001,92.08633093525181,0 days 00:00:52.084065,0 days 00:00:00.007974
10,FF-6-XOR-APUF,5000.0,89.60000000000001,89.82387475538161,0 days 00:01:02.381122,0 days 00:00:00.010001
11,"Generic framework(1,1,1)",5000.0,96.2,96.18218352310784,0 days 00:01:03.281001,0 days 00:00:00.012999
12,"Generic framework(2,2,2)",5000.0,95.8,95.75471698113208,0 days 00:01:02.824073,0 days 00:00:00.012999
13,"Generic framework(3,3,3)",5000.0,95.79859953317774,95.76328177538667,0 days 00:01:02.638130,0 days 00:00:00.013999
14,"Generic framework(4,4,4)",5000.0,94.63333333333334,94.49948752989408,0 days 00:01:02.726788,0 days 00:00:00.012000
15,"Generic framework(5,5,5)",5000.0,93.89999999999999,93.84460141271444,0 days 00:01:02.975676,0 days 00:00:00.013967
16,"Generic framework(6,6,6)",5000.0,93.69789929976659,93.63422027618728,0 days 00:01:03.143722,0 days 00:00:00.012970
