,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,95.03333333333333,95.01838849882984,0 days 00:01:46.758880,0 days 00:00:00.012969
1,3.0,5000.0,94.1,94.11373461922182,0 days 00:01:47.697248,0 days 00:00:00.012969
2,4.0,3750.0,93.36666666666666,93.43017497523934,0 days 00:01:47.635193,0 days 00:00:00.015999
3,5.0,3000.0,93.73333333333333,93.67429340511441,0 days 00:01:47.192118,0 days 00:00:00.012999
4,6.0,2500.0,92.7,92.5737538148525,0 days 00:01:45.889130,0 days 00:00:00.014000
5,7.0,2142.0,92.83094364788262,92.81657200133645,0 days 00:01:46.683959,0 days 00:00:00.013959
6,8.0,1875.0,92.4,92.35412474849095,0 days 00:01:45.932082,0 days 00:00:00.013964
7,9.0,1666.0,93.23107702567522,93.29369012223324,0 days 00:01:46.360075,0 days 00:00:00.013999
8,10.0,1500.0,93.0,93.05555555555556,0 days 00:01:47.040042,0 days 00:00:00.015997
9,20.0,750.0,91.53333333333333,91.52768512341561,0 days 00:01:45.848192,0 days 00:00:00.014989
