,Number of XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,93.46666666666667,93.50563286944997,0 days 00:00:32.277969,0 days 00:00:00.016000
1,3.0,5000.0,94.33333333333334,94.34840425531917,0 days 00:00:32.108099,0 days 00:00:00.012998
2,4.0,3750.0,93.2,93.21808510638297,0 days 00:00:31.990067,0 days 00:00:00.014001
3,5.0,3000.0,93.56666666666666,93.65757476174828,0 days 00:00:32.076998,0 days 00:00:00.014000
4,6.0,2500.0,93.10000000000001,93.21533923303835,0 days 00:00:32.095346,0 days 00:00:00.013968
5,7.0,2142.0,93.33111037012337,93.15068493150685,0 days 00:00:32.180031,0 days 00:00:00.015971
6,8.0,1875.0,91.86666666666666,91.99475065616797,0 days 00:00:32.160026,0 days 00:00:00.012973
7,9.0,1666.0,92.99766588862954,93.1950745301361,0 days 00:00:32.178008,0 days 00:00:00.013993
8,10.0,1500.0,93.7,93.78084896347482,0 days 00:00:32.293030,0 days 00:00:00.013970
9,20.0,750.0,90.43333333333334,90.42375709042376,0 days 00:00:32.211082,0 days 00:00:00.013972
