,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,99.0,98.98785425101214,0 days 00:00:03.632211,0 days 00:00:00.004033
1,"Generic framework(3,0,0)",5000.0,97.0,96.88149688149689,0 days 00:00:03.609779,0 days 00:00:00.004008
2,"Generic framework(4,0,0)",5000.0,96.1,96.13478691774033,0 days 00:00:03.624435,0 days 00:00:00.003994
3,"Generic framework(5,0,0)",5000.0,97.1,97.04984740590031,0 days 00:00:03.622782,0 days 00:00:00.003999
4,"Generic framework(6,0,0)",5000.0,97.2,97.06498951781971,0 days 00:00:03.619218,0 days 00:00:00.003746
5,"Generic framework(7,0,0)",5000.0,97.0,96.98795180722891,0 days 00:00:03.625018,0 days 00:00:00.004000
6,"Generic framework(8,0,0)",5000.0,96.6,96.51639344262296,0 days 00:00:03.624828,0 days 00:00:00.003999
7,"Generic framework(9,0,0)",5000.0,96.09609609609609,96.02446483180428,0 days 00:00:03.629087,0 days 00:00:00.003970
8,"Generic framework(10,0,0)",5000.0,96.5,96.60523763336566,0 days 00:00:03.616738,0 days 00:00:00.004220
9,"Generic framework(20,0,0)",5000.0,96.2,96.38095238095238,0 days 00:00:03.638294,0 days 00:00:00.003998
