,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,0,2)",5000.0,91.9,91.79331306990882,0 days 00:00:44.497325,0 days 00:00:00.004030
1,"Generic framework(0,0,3)",5000.0,92.10000000000001,91.94699286442405,0 days 00:00:36.376697,0 days 00:00:00.004031
2,"Generic framework(0,0,4)",5000.0,88.0,87.70491803278688,0 days 00:00:38.006000,0 days 00:00:00.003770
3,"Generic framework(0,0,5)",5000.0,90.8,90.68825910931174,0 days 00:00:37.847614,0 days 00:00:00.004028
4,"Generic framework(0,0,6)",5000.0,90.9,90.30883919062832,0 days 00:00:38.110096,0 days 00:00:00.004032
5,"Generic framework(0,0,7)",5000.0,90.4,90.5511811023622,0 days 00:00:38.009577,0 days 00:00:00.004030
6,"Generic framework(0,0,8)",5000.0,91.3,90.83245521601685,0 days 00:00:38.561533,0 days 00:00:00.004007
7,"Generic framework(0,0,9)",5000.0,88.988988988989,88.95582329317268,0 days 00:00:35.886241,0 days 00:00:00.003997
8,"Generic framework(0,0,10)",5000.0,91.9,91.72625127681306,0 days 00:00:35.450717,0 days 00:00:00.002996
9,"Generic framework(0,0,20)",5000.0,90.3,90.25125628140704,0 days 00:00:35.511021,0 days 00:00:00.002999
