,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,2,0)",5000.0,94.1,94.01015228426395,0 days 00:00:10.910627,0 days 00:00:00.003000
1,"Generic framework(0,3,0)",5000.0,93.4,93.27902240325867,0 days 00:00:10.839530,0 days 00:00:00.004030
2,"Generic framework(0,4,0)",5000.0,90.4,89.83050847457625,0 days 00:00:10.810339,0 days 00:00:00.004035
3,"Generic framework(0,5,0)",5000.0,90.3,90.7177033492823,0 days 00:00:10.702630,0 days 00:00:00.003996
4,"Generic framework(0,6,0)",5000.0,91.8,91.78356713426854,0 days 00:00:10.735392,0 days 00:00:00.003995
5,"Generic framework(0,7,0)",5000.0,90.0,89.648033126294,0 days 00:00:10.733490,0 days 00:00:00.003996
6,"Generic framework(0,8,0)",5000.0,90.0,89.4291754756871,0 days 00:00:10.735881,0 days 00:00:00.003030
7,"Generic framework(0,9,0)",5000.0,92.3923923923924,92.50493096646942,0 days 00:00:10.701962,0 days 00:00:00.003503
8,"Generic framework(0,10,0)",5000.0,89.2,89.4736842105263,0 days 00:00:10.736924,0 days 00:00:00.003995
9,"Generic framework(0,20,0)",5000.0,89.1,89.54937679769894,0 days 00:00:10.732495,0 days 00:00:00.003969
