,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,88.6,87.47252747252747,0 days 00:00:03.644441,0 days 00:00:00.530262
1,"Generic framework(3,0,0)",5000.0,88.9,87.92165397170838,0 days 00:00:03.590058,0 days 00:00:00.525030
2,"Generic framework(4,0,0)",5000.0,88.2,86.34259259259258,0 days 00:00:03.600524,0 days 00:00:00.514271
3,"Generic framework(5,0,0)",5000.0,86.4,84.14918414918415,0 days 00:00:03.584505,0 days 00:00:00.527859
4,"Generic framework(6,0,0)",5000.0,88.6,87.41721854304636,0 days 00:00:03.601928,0 days 00:00:00.511512
5,"Generic framework(7,0,0)",5000.0,86.4,85.89211618257262,0 days 00:00:03.608535,0 days 00:00:00.540275
6,"Generic framework(8,0,0)",5000.0,89.2,88.0,0 days 00:00:03.629001,0 days 00:00:00.531417
7,"Generic framework(9,0,0)",5000.0,86.18618618618619,85.65488565488565,0 days 00:00:03.737769,0 days 00:00:00.548767
8,"Generic framework(10,0,0)",5000.0,86.1,85.83078491335371,0 days 00:00:03.640077,0 days 00:00:00.524612
9,"Generic framework(20,0,0)",5000.0,83.2,81.77874186550976,0 days 00:00:03.658743,0 days 00:00:00.585529
