,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,0,2)",5000.0,83.5,82.83038501560874,0 days 00:00:43.060973,0 days 00:00:00.543686
1,"Generic framework(0,0,3)",5000.0,82.89999999999999,81.43322475570032,0 days 00:00:35.507894,0 days 00:00:00.543983
2,"Generic framework(0,0,4)",5000.0,78.8,78.14432989690722,0 days 00:00:35.491801,0 days 00:00:00.522546
3,"Generic framework(0,0,5)",5000.0,81.2,80.29350104821803,0 days 00:00:35.834365,0 days 00:00:00.535029
4,"Generic framework(0,0,6)",5000.0,81.69999999999999,80.79748163693598,0 days 00:00:36.136288,0 days 00:00:00.527641
5,"Generic framework(0,0,7)",5000.0,84.8,83.79530916844348,0 days 00:00:35.732821,0 days 00:00:00.521732
6,"Generic framework(0,0,8)",5000.0,81.39999999999999,80.74534161490683,0 days 00:00:35.877718,0 days 00:00:00.586926
7,"Generic framework(0,0,9)",5000.0,80.98098098098097,78.50678733031673,0 days 00:00:36.239309,0 days 00:00:00.584514
8,"Generic framework(0,0,10)",5000.0,80.30000000000001,79.28496319663512,0 days 00:00:36.079316,0 days 00:00:00.551057
9,"Generic framework(0,0,20)",5000.0,76.2,74.68085106382978,0 days 00:00:35.567386,0 days 00:00:00.559603
