,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,0,2)",5000.0,94.19999999999999,94.16107382550337,0 days 00:01:46.566764,0 days 00:00:00.004029
1,"Generic framework(0,0,3)",5000.0,94.03333333333333,93.9342595730261,0 days 00:01:47.355216,0 days 00:00:00.004029
2,"Generic framework(0,0,4)",5000.0,92.83333333333333,92.75362318840578,0 days 00:01:47.966106,0 days 00:00:00.004999
3,"Generic framework(0,0,5)",5000.0,93.66666666666667,93.73350923482849,0 days 00:01:47.524591,0 days 00:00:00.004998
4,"Generic framework(0,0,6)",5000.0,94.1,93.85203195554013,0 days 00:01:47.083046,0 days 00:00:00.004029
5,"Generic framework(0,0,7)",5000.0,92.93097699233077,92.83299526707235,0 days 00:01:47.475604,0 days 00:00:00.004031
6,"Generic framework(0,0,8)",5000.0,92.0,92.00532978014657,0 days 00:01:48.095071,0 days 00:00:00.003998
7,"Generic framework(0,0,9)",5000.0,92.63087695898633,92.5664312142617,0 days 00:01:48.135117,0 days 00:00:00.003998
8,"Generic framework(0,0,10)",5000.0,92.60000000000001,92.52525252525253,0 days 00:01:47.246545,0 days 00:00:00.003996
9,"Generic framework(0,0,20)",5000.0,92.06666666666666,91.69574319609211,0 days 00:01:48.212230,0 days 00:00:00.004974
