,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,98.03333333333333,98.06620780072109,0 days 00:00:10.723965,0 days 00:00:00.003996
1,"Generic framework(3,0,0)",5000.0,97.89999999999999,97.94453507340945,0 days 00:00:10.842697,0 days 00:00:00.004057
2,"Generic framework(4,0,0)",5000.0,98.2,98.20478723404256,0 days 00:00:10.723005,0 days 00:00:00.004021
3,"Generic framework(5,0,0)",5000.0,97.66666666666667,97.612551159618,0 days 00:00:10.725605,0 days 00:00:00.005029
4,"Generic framework(6,0,0)",5000.0,98.56666666666666,98.56809856809858,0 days 00:00:10.687278,0 days 00:00:00.004033
5,"Generic framework(7,0,0)",5000.0,96.49883294431477,96.54491609081936,0 days 00:00:10.704561,0 days 00:00:00.004024
6,"Generic framework(8,0,0)",5000.0,98.26666666666667,98.2961992136304,0 days 00:00:10.707634,0 days 00:00:00.004000
7,"Generic framework(9,0,0)",5000.0,97.73257752584195,97.62900976290096,0 days 00:00:10.756841,0 days 00:00:00.004001
8,"Generic framework(10,0,0)",5000.0,97.83333333333334,97.87789748612472,0 days 00:00:10.715820,0 days 00:00:00.005026
9,"Generic framework(20,0,0)",5000.0,96.03333333333333,96.24960605105578,0 days 00:00:10.774977,0 days 00:00:00.004027
10,"Generic framework(0,2,0)",5000.0,93.23333333333333,93.29369012223323,0 days 00:00:31.835971,0 days 00:00:00.004023
11,"Generic framework(0,3,0)",5000.0,93.46666666666667,93.40954942837928,0 days 00:00:31.892019,0 days 00:00:00.004999
12,"Generic framework(0,4,0)",5000.0,92.93333333333334,93.04918032786884,0 days 00:00:31.916102,0 days 00:00:00.004026
13,"Generic framework(0,5,0)",5000.0,93.56666666666666,93.73986376905611,0 days 00:00:31.844711,0 days 00:00:00.004026
14,"Generic framework(0,6,0)",5000.0,93.63333333333334,93.67340178867177,0 days 00:00:31.860663,0 days 00:00:00.004388
15,"Generic framework(0,7,0)",5000.0,93.76458819606536,93.85070700427491,0 days 00:00:31.888408,0 days 00:00:00.005025
16,"Generic framework(0,8,0)",5000.0,92.86666666666666,92.72603670972127,0 days 00:00:31.850617,0 days 00:00:00.004998
17,"Generic framework(0,9,0)",5000.0,92.46415471823941,92.38031018206338,0 days 00:00:31.818959,0 days 00:00:00.003999
18,"Generic framework(0,10,0)",5000.0,93.06666666666666,93.05740987983978,0 days 00:00:32.003459,0 days 00:00:00.004031
19,"Generic framework(0,20,0)",5000.0,91.9,91.90269910029988,0 days 00:00:31.997621,0 days 00:00:00.005024
20,"Generic framework(0,0,2)",5000.0,94.36666666666666,94.40952695997353,0 days 00:01:45.896905,0 days 00:00:00.004024
21,"Generic framework(0,0,3)",5000.0,93.36666666666666,93.37770382695508,0 days 00:01:45.370383,0 days 00:00:00.004526
22,"Generic framework(0,0,4)",5000.0,93.13333333333334,92.98842750170184,0 days 00:01:45.548963,0 days 00:00:00.003989
23,"Generic framework(0,0,5)",5000.0,93.56666666666666,93.61138695796095,0 days 00:01:45.483208,0 days 00:00:00.004000
24,"Generic framework(0,0,6)",5000.0,94.23333333333333,94.18487394957984,0 days 00:01:45.322306,0 days 00:00:00.004024
25,"Generic framework(0,0,7)",5000.0,92.79759919973326,92.81914893617021,0 days 00:01:45.688136,0 days 00:00:00.003998
26,"Generic framework(0,0,8)",5000.0,92.63333333333334,92.65536723163842,0 days 00:01:45.662110,0 days 00:00:00.005000
27,"Generic framework(0,0,9)",5000.0,93.93131043681227,93.83468834688347,0 days 00:01:45.648028,0 days 00:00:00.003999
28,"Generic framework(0,0,10)",5000.0,93.06666666666666,92.94915254237289,0 days 00:01:45.495914,0 days 00:00:00.004021
29,"Generic framework(0,0,20)",5000.0,91.46666666666667,91.21482498284146,0 days 00:01:45.691022,0 days 00:00:00.004003
