,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,0,2)",5000.0,93.8,93.812375249501,0 days 00:00:36.253144,0 days 00:00:01.147353
1,"Generic framework(0,0,3)",5000.0,93.4,93.23770491803278,0 days 00:00:36.223871,0 days 00:00:01.162486
2,"Generic framework(0,0,4)",5000.0,92.30000000000001,92.33830845771143,0 days 00:00:36.157412,0 days 00:00:01.144632
3,"Generic framework(0,0,5)",5000.0,92.30000000000001,92.4731182795699,0 days 00:00:36.045212,0 days 00:00:01.079843
4,"Generic framework(0,0,6)",5000.0,92.80000000000001,92.95499021526419,0 days 00:00:35.992093,0 days 00:00:01.044466
5,"Generic framework(0,0,7)",5000.0,91.0,90.89068825910931,0 days 00:00:36.089474,0 days 00:00:01.001496
6,"Generic framework(0,0,8)",5000.0,91.0,90.94567404426559,0 days 00:00:36.188996,0 days 00:00:01.062773
7,"Generic framework(0,0,9)",5000.0,92.09209209209209,91.86405767250257,0 days 00:00:36.105658,0 days 00:00:00.920544
8,"Generic framework(0,0,10)",5000.0,90.0,90.34749034749035,0 days 00:00:36.364035,0 days 00:00:00.931909
9,"Generic framework(0,0,20)",5000.0,87.8,88.22393822393823,0 days 00:00:36.431747,0 days 00:00:00.842694
