,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(0,2,0)",5000.0,94.0,93.7759336099585,0 days 00:00:12.420930,0 days 00:00:01.313501
1,"Generic framework(0,3,0)",5000.0,93.0,93.09664694280077,0 days 00:00:12.843555,0 days 00:00:01.328160
2,"Generic framework(0,4,0)",5000.0,92.0,92.27799227799227,0 days 00:00:12.459778,0 days 00:00:01.111767
3,"Generic framework(0,5,0)",5000.0,92.60000000000001,92.27557411273487,0 days 00:00:12.712989,0 days 00:00:01.315348
4,"Generic framework(0,6,0)",5000.0,94.5,94.65500485908649,0 days 00:00:12.615968,0 days 00:00:01.038182
5,"Generic framework(0,7,0)",5000.0,89.7,89.47906026557713,0 days 00:00:11.515637,0 days 00:00:01.122668
6,"Generic framework(0,8,0)",5000.0,89.7,89.45752302968269,0 days 00:00:11.530741,0 days 00:00:01.109814
7,"Generic framework(0,9,0)",5000.0,89.98998998999,89.97995991983967,0 days 00:00:12.092729,0 days 00:00:00.990172
8,"Generic framework(0,10,0)",5000.0,91.4,91.69884169884169,0 days 00:00:11.775644,0 days 00:00:01.058793
9,"Generic framework(0,20,0)",5000.0,88.1,88.2061446977205,0 days 00:00:12.913054,0 days 00:00:00.979056
