,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,98.2,98.2791586998088,0 days 00:00:04.153855,0 days 00:00:00.967989
1,"Generic framework(3,0,0)",5000.0,96.1,96.0725075528701,0 days 00:00:03.969157,0 days 00:00:00.880774
2,"Generic framework(4,0,0)",5000.0,98.5,98.54227405247813,0 days 00:00:03.948704,0 days 00:00:00.869706
3,"Generic framework(5,0,0)",5000.0,96.7,96.40130861504908,0 days 00:00:03.894122,0 days 00:00:00.757983
4,"Generic framework(6,0,0)",5000.0,98.0,98.0732177263969,0 days 00:00:03.895651,0 days 00:00:00.744302
5,"Generic framework(7,0,0)",5000.0,96.7,96.7992240543162,0 days 00:00:03.922053,0 days 00:00:00.762914
6,"Generic framework(8,0,0)",5000.0,98.3,98.26707441386341,0 days 00:00:03.824561,0 days 00:00:00.565522
7,"Generic framework(9,0,0)",5000.0,96.8968968968969,96.98736637512148,0 days 00:00:03.880445,0 days 00:00:00.648523
8,"Generic framework(10,0,0)",5000.0,96.89999999999999,96.94581280788178,0 days 00:00:03.921515,0 days 00:00:00.693005
9,"Generic framework(20,0,0)",5000.0,97.2,97.08333333333333,0 days 00:00:03.907873,0 days 00:00:00.476993
