,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(2,0,0)",5000.0,97.5,97.5074775672981,0 days 00:00:12.962293,0 days 00:00:04.511966
1,"Generic framework(3,0,0)",5000.0,97.8,97.72256728778468,0 days 00:00:13.711874,0 days 00:00:05.288074
2,"Generic framework(4,0,0)",5000.0,95.33333333333334,95.34883720930233,0 days 00:00:14.288375,0 days 00:00:05.862021
3,"Generic framework(5,0,0)",5000.0,97.2,97.2203838517538,0 days 00:00:13.348206,0 days 00:00:04.584755
4,"Generic framework(6,0,0)",5000.0,98.0,98.04560260586318,0 days 00:00:13.586528,0 days 00:00:04.245957
5,"Generic framework(7,0,0)",5000.0,97.06568856285428,97.01086956521738,0 days 00:00:13.747571,0 days 00:00:04.304708
6,"Generic framework(8,0,0)",5000.0,98.36666666666667,98.37909361561363,0 days 00:00:13.006106,0 days 00:00:03.731400
7,"Generic framework(9,0,0)",5000.0,96.03201067022341,95.98650927487353,0 days 00:00:13.383552,0 days 00:00:04.231482
8,"Generic framework(10,0,0)",5000.0,97.16666666666667,97.15623954499833,0 days 00:00:13.149450,0 days 00:00:03.856633
9,"Generic framework(20,0,0)",5000.0,98.26666666666667,98.27471798274718,0 days 00:00:13.001928,0 days 00:00:02.689884
10,"Generic framework(0,2,0)",5000.0,93.89999999999999,93.94240317775572,0 days 00:00:38.140351,0 days 00:00:08.195920
11,"Generic framework(0,3,0)",5000.0,93.46666666666667,93.56955380577428,0 days 00:00:38.844893,0 days 00:00:08.333997
12,"Generic framework(0,4,0)",5000.0,91.86666666666666,91.82853315472205,0 days 00:00:40.572342,0 days 00:00:09.459938
13,"Generic framework(0,5,0)",5000.0,91.60000000000001,91.63901791639017,0 days 00:00:41.182638,0 days 00:00:08.474732
14,"Generic framework(0,6,0)",5000.0,92.46666666666667,92.44147157190635,0 days 00:00:38.990464,0 days 00:00:09.149808
15,"Generic framework(0,7,0)",5000.0,91.13037679226409,91.10367892976588,0 days 00:00:39.106771,0 days 00:00:07.836072
16,"Generic framework(0,8,0)",5000.0,89.03333333333333,88.85123686885801,0 days 00:00:42.011011,0 days 00:00:08.401214
17,"Generic framework(0,9,0)",5000.0,89.56318772924308,89.57014328557148,0 days 00:00:38.958003,0 days 00:00:07.210774
18,"Generic framework(0,10,0)",5000.0,89.0,88.7218045112782,0 days 00:00:39.012081,0 days 00:00:07.078261
19,"Generic framework(0,20,0)",5000.0,89.93333333333334,89.78349120433018,0 days 00:00:42.102571,0 days 00:00:06.534233
20,"Generic framework(0,0,2)",5000.0,94.76666666666667,94.77537437603993,0 days 00:01:55.480860,0 days 00:00:08.555984
21,"Generic framework(0,0,3)",5000.0,93.46666666666667,93.38731443994602,0 days 00:01:55.770172,0 days 00:00:08.499526
22,"Generic framework(0,0,4)",5000.0,91.10000000000001,90.98277608915907,0 days 00:01:56.802678,0 days 00:00:08.558504
23,"Generic framework(0,0,5)",5000.0,91.73333333333333,91.64983164983165,0 days 00:01:55.469995,0 days 00:00:08.243039
24,"Generic framework(0,0,6)",5000.0,91.9,91.84837302918484,0 days 00:01:55.027604,0 days 00:00:08.061486
25,"Generic framework(0,0,7)",5000.0,91.26375458486163,91.0702113156101,0 days 00:01:54.380595,0 days 00:00:07.761534
26,"Generic framework(0,0,8)",5000.0,88.96666666666667,89.05785123966942,0 days 00:01:55.018007,0 days 00:00:07.843551
27,"Generic framework(0,0,9)",5000.0,90.09669889963321,89.93561504574721,0 days 00:01:54.361065,0 days 00:00:07.201878
28,"Generic framework(0,0,10)",5000.0,89.56666666666668,89.57014328557148,0 days 00:01:55.544345,0 days 00:00:07.267881
29,"Generic framework(0,0,20)",5000.0,89.3,89.25343153665885,0 days 00:02:02.765894,0 days 00:00:06.858499
