,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,97.7,97.72951628825271,0 days 00:00:03.871200,0 days 00:00:00.008999
1,2 XOR-APUF,5000.0,92.0,91.36069114470841,0 days 00:00:06.134826,0 days 00:00:00.008999
2,3 XOR-APUF,5000.0,90.5,90.67713444553482,0 days 00:00:08.540002,0 days 00:00:00.008998
3,4 XOR-APUF,5000.0,84.6,84.78260869565217,0 days 00:00:11.067002,0 days 00:00:00.007999
4,5 XOR-APUF,5000.0,85.8,86.05108055009823,0 days 00:00:13.453035,0 days 00:00:00.008966
5,6 XOR-APUF,5000.0,83.1,82.87740628166159,0 days 00:00:15.651000,0 days 00:00:00.008999
6,FF-2-XOR-APUF,5000.0,92.5,92.09694415173867,0 days 00:00:18.750033,0 days 00:00:00.007966
7,FF-3-XOR-APUF,5000.0,90.3,89.9063475546306,0 days 00:00:27.085085,0 days 00:00:00.007977
8,FF-4-XOR-APUF,5000.0,86.8,86.41975308641976,0 days 00:00:35.635250,0 days 00:00:00.010998
9,FF-5-XOR-APUF,5000.0,84.39999999999999,84.67583497053046,0 days 00:00:45.148827,0 days 00:00:00.009998
10,FF-6-XOR-APUF,5000.0,81.3,81.93236714975846,0 days 00:00:53.015839,0 days 00:00:00.008000
11,"Generic framework(1,1,1)",5000.0,74.63333333333333,66.25277161862527,0 days 00:00:50.918045,0 days 00:00:00.013000
12,"Generic framework(2,2,2)",5000.0,88.63333333333333,88.43675822312647,0 days 00:00:50.831156,0 days 00:00:00.012974
13,"Generic framework(3,3,3)",5000.0,82.7942647549183,84.10351201478743,0 days 00:00:50.100109,0 days 00:00:00.012997
14,"Generic framework(4,4,4)",5000.0,80.4,77.36720554272517,0 days 00:00:50.112111,0 days 00:00:00.013960
15,"Generic framework(5,5,5)",5000.0,89.73333333333333,89.65053763440861,0 days 00:00:50.714878,0 days 00:00:00.012969
16,"Generic framework(6,6,6)",5000.0,83.52784261420474,84.97566909975669,0 days 00:00:49.822204,0 days 00:00:00.012962
