,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,54.1,63.829787234042556,0 days 00:00:07.317055,0 days 00:00:00.015628
1,2 XOR-APUF,5000.0,54.900000000000006,3.8379530916844358,0 days 00:00:12.004205,0 days 00:00:00.015629
2,3 XOR-APUF,5000.0,47.4,50.56390977443609,0 days 00:00:18.567006,0 days 00:00:00.015630
3,4 XOR-APUF,5000.0,48.4,59.93788819875777,0 days 00:00:23.773338,0 days 00:00:00.015628
4,5 XOR-APUF,5000.0,51.1,53.47288296860134,0 days 00:00:28.946839,0 days 00:00:00.015628
5,6 XOR-APUF,5000.0,52.1,55.10777881911903,0 days 00:00:34.729009,0 days 00:00:00.015628
6,FF-2-XOR-APUF,5000.0,53.7,18.34215167548501,0 days 00:00:34.964168,0 days 00:00:00.015629
7,FF-3-XOR-APUF,5000.0,52.400000000000006,47.34513274336283,0 days 00:00:50.346871,0 days 00:00:00.015626
8,FF-4-XOR-APUF,5000.0,51.4,58.60306643952299,0 days 00:01:05.562318,0 days 00:00:00.015628
9,FF-5-XOR-APUF,5000.0,50.0,47.58909853249476,0 days 00:01:17.054710,0 days 00:00:00.015629
10,FF-6-XOR-APUF,5000.0,49.2,37.89731051344744,0 days 00:01:32.870649,0 days 00:00:00.015626
11,"Generic framework(1,1,1)",5000.0,50.8,6.582278481012659,0 days 00:01:30.282147,0 days 00:00:00.031259
12,"Generic framework(2,2,2)",5000.0,50.9,19.464188080918536,0 days 00:01:31.103300,0 days 00:00:00.031260
13,"Generic framework(3,3,3)",5000.0,50.95031677225742,45.21415270018622,0 days 00:01:31.693612,0 days 00:00:00.031258
14,"Generic framework(4,4,4)",5000.0,50.93333333333333,46.897546897546896,0 days 00:01:30.417902,0 days 00:00:00.031260
15,"Generic framework(5,5,5)",5000.0,50.5,48.131330771917575,0 days 00:01:30.597925,0 days 00:00:00.031259
16,"Generic framework(6,6,6)",5000.0,50.883627875958645,29.75679542203148,0 days 00:01:30.711313,0 days 00:00:00.018664
