,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,52.400000000000006,54.230769230769226,0 days 00:00:07.930000,0 days 00:00:00.019000
1,2 XOR-APUF,5000.0,53.2,9.30232558139535,0 days 00:00:16.290546,0 days 00:00:00.016000
2,3 XOR-APUF,5000.0,50.8,52.96367112810707,0 days 00:00:21.634000,0 days 00:00:00.011000
3,4 XOR-APUF,5000.0,50.6,56.205673758865245,0 days 00:00:24.408999,0 days 00:00:00.014001
4,5 XOR-APUF,5000.0,49.1,43.38153503893214,0 days 00:00:31.313000,0 days 00:00:00.013000
5,6 XOR-APUF,5000.0,47.699999999999996,50.89201877934272,0 days 00:00:36.552001,0 days 00:00:00.084999
6,FF-2-XOR-APUF,5000.0,53.5,23.645320197044338,0 days 00:00:28.933999,0 days 00:00:00.012000
7,FF-3-XOR-APUF,5000.0,51.300000000000004,56.08656447249775,0 days 00:00:41.779509,0 days 00:00:00.011001
8,FF-4-XOR-APUF,5000.0,51.4,51.78571428571428,0 days 00:01:02.366024,0 days 00:00:00.024001
9,FF-5-XOR-APUF,5000.0,50.5,54.545454545454554,0 days 00:01:09.676524,0 days 00:00:00.011000
10,FF-6-XOR-APUF,5000.0,49.1,39.62040332147094,0 days 00:01:24.622999,0 days 00:00:00.020999
11,"Generic framework(1,1,1)",5000.0,49.266666666666666,33.36252189141857,0 days 00:01:18.541532,0 days 00:00:00.014999
12,"Generic framework(2,2,2)",5000.0,47.86666666666667,43.16860465116279,0 days 00:01:11.010052,0 days 00:00:00.015000
13,"Generic framework(3,3,3)",5000.0,51.48382794264755,42.69397400551399,0 days 00:01:11.332362,0 days 00:00:00.011996
14,"Generic framework(4,4,4)",5000.0,54.266666666666666,45.2076677316294,0 days 00:01:10.990840,0 days 00:00:00.015999
15,"Generic framework(5,5,5)",5000.0,51.03333333333333,55.117629086465,0 days 00:01:11.354091,0 days 00:00:00.012999
16,"Generic framework(6,6,6)",5000.0,50.750250083361124,55.14728211357425,0 days 00:01:10.053298,0 days 00:00:00.014000
