,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,51.0,49.58847736625514,0 days 00:00:05.755966,0 days 00:00:00.009001
1,2 XOR-APUF,5000.0,52.400000000000006,24.20382165605096,0 days 00:00:10.823056,0 days 00:00:00.009998
2,3 XOR-APUF,5000.0,48.199999999999996,43.817787418655094,0 days 00:00:15.715142,0 days 00:00:00.008970
3,4 XOR-APUF,5000.0,52.5,42.42424242424243,0 days 00:00:20.835257,0 days 00:00:00.008998
4,5 XOR-APUF,5000.0,49.5,44.44444444444444,0 days 00:00:26.198103,0 days 00:00:00.008975
5,6 XOR-APUF,5000.0,50.1,48.7153134635149,0 days 00:00:31.068103,0 days 00:00:00.008998
6,FF-2-XOR-APUF,5000.0,53.300000000000004,7.889546351084813,0 days 00:00:23.465032,0 days 00:00:00.008968
7,FF-3-XOR-APUF,5000.0,49.9,40.85005903187721,0 days 00:00:34.793738,0 days 00:00:00.011001
8,FF-4-XOR-APUF,5000.0,50.3,45.0828729281768,0 days 00:00:46.266053,0 days 00:00:00.008999
9,FF-5-XOR-APUF,5000.0,51.7,35.16778523489933,0 days 00:00:57.819353,0 days 00:00:00.009999
10,FF-6-XOR-APUF,5000.0,51.1,65.19572953736653,0 days 00:01:07.717192,0 days 00:00:00.009002
11,"Generic framework(1,1,1)",5000.0,49.36666666666667,27.701094716801528,0 days 00:01:11.231466,0 days 00:00:00.015000
12,"Generic framework(2,2,2)",5000.0,51.1,53.795275590551185,0 days 00:01:10.697321,0 days 00:00:00.012965
13,"Generic framework(3,3,3)",5000.0,50.750250083361124,58.522886829542266,0 days 00:01:11.270124,0 days 00:00:00.012997
14,"Generic framework(4,4,4)",5000.0,51.0,34.08071748878923,0 days 00:01:12.000330,0 days 00:00:00.012999
15,"Generic framework(5,5,5)",5000.0,51.0,54.93562231759657,0 days 00:01:11.149147,0 days 00:00:00.015000
16,"Generic framework(6,6,6)",5000.0,50.98366122040681,51.03264490339774,0 days 00:01:11.638729,0 days 00:00:00.012960
