,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,51.9,56.93822739480752,0 days 00:00:04.006998,0 days 00:00:00.009000
1,2 XOR-APUF,5000.0,51.4,32.49999999999999,0 days 00:00:07.234000,0 days 00:00:00.009000
2,3 XOR-APUF,5000.0,51.7,51.3595166163142,0 days 00:00:10.323075,0 days 00:00:00.008967
3,4 XOR-APUF,5000.0,50.3,59.494702526487366,0 days 00:00:14.388035,0 days 00:00:00.010995
4,5 XOR-APUF,5000.0,49.7,43.54657687991021,0 days 00:00:18.552001,0 days 00:00:00.010999
5,6 XOR-APUF,5000.0,47.099999999999994,57.165991902834,0 days 00:00:22.130001,0 days 00:00:00.008997
6,FF-2-XOR-APUF,5000.0,53.400000000000006,24.59546925566343,0 days 00:00:21.075029,0 days 00:00:00.012971
7,FF-3-XOR-APUF,5000.0,50.5,54.959053685168335,0 days 00:00:30.641612,0 days 00:00:00.010997
8,FF-4-XOR-APUF,5000.0,52.0,55.71955719557196,0 days 00:00:44.436108,0 days 00:00:00.011961
9,FF-5-XOR-APUF,5000.0,50.7,51.332675222112535,0 days 00:00:50.563667,0 days 00:00:00.012998
10,FF-6-XOR-APUF,5000.0,51.800000000000004,54.09523809523809,0 days 00:00:58.160998,0 days 00:00:00.009000
11,"Generic framework(1,1,1)",5000.0,49.96666666666666,26.24078624078624,0 days 00:00:56.366084,0 days 00:00:00.015999
12,"Generic framework(2,2,2)",5000.0,49.333333333333336,50.3592423252776,0 days 00:00:58.417784,0 days 00:00:00.013999
13,"Generic framework(3,3,3)",5000.0,51.25041680560187,32.31481481481481,0 days 00:00:55.803169,0 days 00:00:00.016973
14,"Generic framework(4,4,4)",5000.0,50.56666666666667,52.51360870957412,0 days 00:00:56.388014,0 days 00:00:00.013999
15,"Generic framework(5,5,5)",5000.0,51.26666666666667,39.18469217970049,0 days 00:00:57.988229,0 days 00:00:00.014003
16,"Generic framework(6,6,6)",5000.0,51.1837279093031,55.66323440339188,0 days 00:01:00.960354,0 days 00:00:00.014968
