,Number of APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2,7500,98.2,98.32402235,0 days 00:00:03.918753,0 days 00:00:00.009922
1,3,5000,98.13333333,98.11193527,0 days 00:00:10.853002,0 days 00:00:00.012999
2,4,3750,98.16666667,98.2148653,0 days 00:00:10.906509,0 days 00:00:00.015000
3,5,3000,98,98.05573558,0 days 00:00:11.065029,0 days 00:00:00.012969
4,6,2500,97.46666667,97.49835418,0 days 00:00:10.873108,0 days 00:00:00.013968
5,7,2142,97.76592197,97.76144337,0 days 00:00:10.861579,0 days 00:00:00.012969
6,8,1875,97.33333333,97.37015122,0 days 00:00:10.903002,0 days 00:00:00.011967
7,9,1666,97.69923308,97.72652389,0 days 00:00:10.888039,0 days 00:00:00.013961
8,10,1500,98.03333333,98.00473453,0 days 00:00:11.009073,0 days 00:00:00.012998
9,20,750,97.2,97.16216216,0 days 00:00:11.016119,0 days 00:00:00.013998
